dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,metadata_version,MC Aleatoric Mean,MC Epistemic Mean,MC Total Mean,P Aleatoric Mean,P Epistemic Mean,P Total Mean
ag_news,1,pure_logits,greedy_50_post_calib,50,20,0.1448494642972946,1.5060724698042485,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_ag_news_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.13178443908691406,0.0035499485675245523,0.13533438742160797,0.11517653614282608,0.02013806253671646,0.13531459867954254
dbpedia_14,1,pure_logits,greedy_50_post_calib,50,27,0.0299132671207189,1.7902040816326532,0.6547271970012495,1.0,llm_experiments_data/arrays/dbpedia_14_1_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.03211366385221481,0.0006145862862467766,0.032728247344493866,0.023517468944191933,0.009084860794246197,0.032602325081825256
dbpedia_14,1,pure_logits,greedy_50_post_calib,50,13,0.0284453090280294,1.7397251145356103,0.679716784673053,1.0,llm_experiments_data/arrays/ftc_dbpedia_14_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.03029266931116581,0.0002800049842335284,0.0305726770311594,0.026795338839292526,0.0036419983953237534,0.03043733537197113
stanfordnlp/sst2,1,pure_logits,greedy_50_post_calib,50,19,0.1320841014385223,1.4764348188254894,0.7663473552686381,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_1_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.11132560670375824,0.0169453676789999,0.1282709836959839,0.06836249679327011,0.05991486832499504,0.12827736139297485
stanfordnlp/sst2,1,pure_logits,greedy_50_post_calib,50,21,0.1096661612391471,1.6433152852977928,0.6847147022074136,1.0,llm_experiments_data/arrays/ftc_stanfordnlp_sst2_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.09664788842201233,0.009678570553660393,0.10632646083831787,0.07353118807077408,0.03279736638069153,0.10632854700088501
SetFit/mnli,1,pure_logits,greedy_50_post_calib,50,23,0.3492890298366546,1.8592253227821744,0.4897959183673469,1.0,llm_experiments_data/arrays/setfit_mnli_1_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.3292124569416046,0.01633603684604168,0.34554845094680786,0.2865178883075714,0.059025075286626816,0.3455429673194885
SetFit/mnli,1,pure_logits,greedy_50_post_calib,50,14,0.4966378509998321,1.983573511037068,0.0,1.0,llm_experiments_data/arrays/ftc_setfit_mnli_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.49868208169937134,4.99822476740519e-07,0.49868258833885193,0.4986782371997833,3.4672062443341645e-10,0.4986782371997833
imdb,2,pure_logits,greedy_50_post_calib,50,21,0.1247840598225593,1.1875052061640985,0.9129529362765514,1.0,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.11510869860649109,0.018496137112379074,0.13360483944416046,0.0622309148311615,0.07136991620063782,0.13360083103179932
imdb,2,pure_logits,greedy_50_post_calib,50,15,0.0963173434138298,1.6423157017909205,0.5247813411078717,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.09761526435613632,0.0044625140726566315,0.10207776725292206,0.08664178848266602,0.015431001782417297,0.10207278281450272
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_post_calib,50,26,0.500332236289978,1.1283298625572675,0.94960433152853,1.0,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.426230788230896,0.06260611116886139,0.4888368844985962,0.24079972505569458,0.24798616766929626,0.48878589272499084
