dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path
imdb,0,pure_logits,greedy_5_baseline,5,5,0.12724649906158447,,,,5.854335069656372,0.0,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_baseline_2025-09-21.npz
imdb,0,pure_logits,greedy_50_baseline,50,21,0.12414136528968811,,,,5.854335069656372,0.0,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_baseline_2025-09-21.npz
imdb,0,pure_logits,greedy_50_temp_pool_then_calibrate,50,21,0.12408017367124557,1.0163265306122449,,,5.854335069656372,0.010598421096801758,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz
imdb,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.12681423127651215,0.9612244897959183,,,5.854335069656372,0.010623693466186523,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz
imdb,0,pure_logits,greedy_50_temp_calibrate_then_pool,50,21,0.13637344539165497,2.4390612244897962,,,5.854335069656372,0.3693244457244873,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz
imdb,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1323956996202469,2.0963265306122447,,,5.854335069656372,0.039587974548339844,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.12639792263507843,1.0701541024573094,0.9062890462307371,1,5.854335069656372,2.5066237449645996,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_post_calib_2025-09-21.npz
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.12417357414960861,0.9886880466472303,0.9995835068721366,1,5.854335069656372,12.263320207595825,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_post_calib_2025-09-21.npz
imdb,1,pure_logits,greedy_5_baseline,5,5,0.1270262897014618,,,,2.1921565532684326,0.0,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_baseline_2025-09-21.npz
imdb,1,pure_logits,greedy_50_baseline,50,22,0.12418968975543976,,,,2.1921565532684326,0.0,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_baseline_2025-09-21.npz
imdb,1,pure_logits,greedy_50_temp_pool_then_calibrate,50,22,0.12417270243167877,1.0163265306122449,,,2.1921565532684326,0.010252952575683594,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz
imdb,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.126593217253685,0.9612244897959183,,,2.1921565532684326,0.008197784423828125,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz
imdb,1,pure_logits,greedy_50_temp_calibrate_then_pool,50,22,0.13640032708644867,2.471020408163265,,,2.1921565532684326,0.37695956230163574,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz
imdb,1,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.13158002495765686,2.08530612244898,,,2.1921565532684326,0.03682518005371094,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz
imdb,1,pure_logits,greedy_5_post_calib,5,5,0.12628622353076935,1.3124531445231153,0.7730112453144523,1,2.1921565532684326,2.550163745880127,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_post_calib_2025-09-21.npz
imdb,1,pure_logits,greedy_50_post_calib,50,22,0.1241556704044342,0.9651478550603916,1.0162432319866723,1,2.1921565532684326,13.635117053985596,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_post_calib_2025-09-21.npz
imdb,2,pure_logits,greedy_5_baseline,5,5,0.13842231035232544,,,,0.10439634323120117,0.0,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_baseline_2025-09-21.npz
imdb,2,pure_logits,greedy_50_baseline,50,21,0.12498537451028824,,,,0.10439634323120117,0.0,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_baseline_2025-09-21.npz
imdb,2,pure_logits,greedy_50_temp_pool_then_calibrate,50,21,0.12517064809799194,1.0163265306122449,,,0.10439634323120117,0.007846593856811523,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz
imdb,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.13620005548000336,0.9061224489795918,,,0.10439634323120117,0.008997678756713867,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz
imdb,2,pure_logits,greedy_50_temp_calibrate_then_pool,50,21,0.13633926212787628,2.303510204081632,,,0.10439634323120117,0.38175058364868164,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz
imdb,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1417098045349121,1.8318367346938775,,,0.10439634323120117,0.04015040397644043,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz
imdb,2,pure_logits,greedy_5_post_calib,5,5,0.1345534473657608,1.265472719700125,0.6547271970012495,1,0.10439634323120117,3.215742588043213,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_5_post_calib_2025-09-21.npz
imdb,2,pure_logits,greedy_50_post_calib,50,21,0.12478405982255936,1.1875052061640985,0.9129529362765514,1,0.10439634323120117,11.684259176254272,llm_experiments_data/arrays/mini_imdb_2_pure_logits_greedy_50_post_calib_2025-09-21.npz
imdb,3,pure_logits,greedy_5_baseline,5,5,0.13089922070503235,,,,3.2491848468780518,0.0,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_5_baseline_2025-09-21.npz
imdb,3,pure_logits,greedy_50_baseline,50,20,0.12636950612068176,,,,3.2491848468780518,0.0,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_50_baseline_2025-09-21.npz
imdb,3,pure_logits,greedy_50_temp_pool_then_calibrate,50,20,0.1261262595653534,1.0163265306122449,,,3.2491848468780518,0.009607553482055664,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz
imdb,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.13082529604434967,0.9061224489795918,,,3.2491848468780518,0.00789022445678711,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz
