dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path
imdb,3,pure_logits,greedy_50_temp_pool_then_calibrate,50,20,0.1261262595653534,1.0163265306122449,,,0.0865640640258789,0.0064885616302490234,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
imdb,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.13082529604434967,0.9061224489795918,,,0.0865640640258789,0.008368968963623047,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
imdb,3,pure_logits,greedy_50_temp_calibrate_then_pool,50,20,0.13292475044727325,2.038000832986256,0.0,1,0.0865640640258789,8.031179666519165,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
imdb,3,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.13708363473415375,1.9450895460224906,0.0,1,0.0865640640258789,1.0417735576629639,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
imdb,3,pure_logits,greedy_5_post_calib,5,5,0.13071255385875702,1.0224739691795086,0.9062890462307371,1,0.0865640640258789,3.6908140182495117,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_5_post_calib_2025-09-23.npz
imdb,3,pure_logits,greedy_50_post_calib,50,20,0.126470685005188,1.0828488129945857,0.9662640566430654,1,0.0865640640258789,23.58415985107422,llm_experiments_data/arrays/mini_imdb_3_pure_logits_greedy_50_post_calib_2025-09-23.npz
imdb,4,pure_logits,greedy_5_baseline,5,5,0.14341823756694794,,,,0.10191130638122559,0.0,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_5_baseline_2025-09-23.npz
imdb,4,pure_logits,greedy_50_baseline,50,21,0.12951956689357758,,,,0.10191130638122559,0.0,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_50_baseline_2025-09-23.npz
imdb,4,pure_logits,greedy_50_temp_pool_then_calibrate,50,21,0.12789751589298248,1.0714285714285714,,,0.10191130638122559,0.009014606475830078,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
imdb,4,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.13665056228637695,1.1816326530612244,,,0.10191130638122559,0.006710052490234375,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
imdb,4,pure_logits,greedy_50_temp_calibrate_then_pool,50,21,0.13408660888671875,1.9999666805497711,0.0,1,0.10191130638122559,6.6004016399383545,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
imdb,4,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.136781245470047,1.8503790087463559,0.0,1,0.10191130638122559,1.1390197277069092,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
imdb,4,pure_logits,greedy_5_post_calib,5,5,0.1334708333015442,1.5106705539358602,0.7663473552686381,1,0.10191130638122559,4.837679624557495,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_5_post_calib_2025-09-23.npz
imdb,4,pure_logits,greedy_50_post_calib,50,21,0.12891367077827454,0.9955851728446481,1.0329029571012078,1,0.10191130638122559,10.898531198501587,llm_experiments_data/arrays/mini_imdb_4_pure_logits_greedy_50_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_baseline,5,5,0.5419113039970398,,,,0.09017086029052734,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_5_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_baseline,50,26,0.5077022314071655,,,,0.09017086029052734,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_temp_pool_then_calibrate,50,26,0.5073590278625488,1.0163265306122449,,,0.09017086029052734,0.008704185485839844,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.5396257042884827,1.0714285714285714,,,0.09017086029052734,0.007748126983642578,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_temp_calibrate_then_pool,50,26,0.5156623125076294,1.8747188671386923,0.0,1,0.09017086029052734,5.076274156570435,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.5352078080177307,1.7114369012911288,0.0,1,0.09017086029052734,1.3451411724090576,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_post_calib,5,5,0.5301840305328369,1.3603831736776342,0.7530195751770096,1,0.09017086029052734,3.8511271476745605,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_5_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_post_calib,50,26,0.5067362785339355,1.153219491878384,0.9329446064139941,1,0.09017086029052734,10.045445203781128,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_0_pure_logits_greedy_50_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_5_baseline,5,5,0.5260146856307983,,,,0.0950021743774414,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_5_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_baseline,50,26,0.4963533878326416,,,,0.0950021743774414,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_50_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_temp_pool_then_calibrate,50,26,0.49623510241508484,1.0163265306122449,,,0.0950021743774414,0.007592439651489258,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.524638831615448,1.126530612244898,,,0.0950021743774414,0.009292125701904297,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_temp_calibrate_then_pool,50,26,0.5140592455863953,1.9450895460224906,0.0,1,0.0950021743774414,5.948843002319336,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.5283321738243103,1.7114369012911288,0.0,1,0.0950021743774414,1.4245367050170898,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_5_post_calib,5,5,0.5204228162765503,1.4630903790087464,0.6397334443981675,1,0.0950021743774414,7.1204609870910645,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_5_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_post_calib,50,26,0.4978979229927063,1.281865889212828,0.8929612661391086,1,0.0950021743774414,11.417766571044922,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_1_pure_logits_greedy_50_post_calib_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_5_baseline,5,5,0.5333333015441895,,,,0.0974884033203125,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_5_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_baseline,50,26,0.5011298060417175,,,,0.0974884033203125,0.0,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_baseline_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_temp_pool_then_calibrate,50,26,0.5009475946426392,1.0163265306122449,,,0.0974884033203125,0.010558843612670898,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.5314382314682007,1.126530612244898,,,0.0974884033203125,0.008069276809692383,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_temp_calibrate_then_pool,50,26,0.507821798324585,1.9057059558517286,0.0,1,0.0974884033203125,6.155181169509888,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.5277904272079468,1.7255810079133695,0.0,1,0.0974884033203125,1.5140609741210938,llm_experiments_data/arrays/mini_mteb_tweet_sentiment_extraction_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz
