dataset,split_idx,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path
MNIST,6,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.030324837192893028,0.8405997501041232,1.0,1,0.015386104583740234,9.107582807540894,cnn_experiments_data/arrays/mnist_6_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
MNIST,6,pure_logits,greedy_5_post_calib,5,4,0.028601370751857758,0.9651478550603916,0.5747605164514785,1,0.015386104583740234,8.987476110458374,cnn_experiments_data/arrays/mnist_6_pure_logits_greedy_5_post_calib_2025-11-30.npz
MNIST,7,pure_logits,greedy_5_baseline,5,4,0.03422519937157631,,,,0.36765050888061523,0.0,cnn_experiments_data/arrays/mnist_7_pure_logits_greedy_5_baseline_2025-11-30.npz
MNIST,7,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.03370414301753044,0.7408163265306122,,,0.36765050888061523,0.02635955810546875,cnn_experiments_data/arrays/mnist_7_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
MNIST,7,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.03441838547587395,0.7666805497709288,1.0,1,0.36765050888061523,5.308121919631958,cnn_experiments_data/arrays/mnist_7_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
MNIST,7,pure_logits,greedy_5_post_calib,5,4,0.031570762395858765,0.9808413161182841,0.3898375676801333,1,0.36765050888061523,9.774395227432251,cnn_experiments_data/arrays/mnist_7_pure_logits_greedy_5_post_calib_2025-11-30.npz
MNIST,8,pure_logits,greedy_5_baseline,5,4,0.031018411740660667,,,,0.016644001007080078,0.0,cnn_experiments_data/arrays/mnist_8_pure_logits_greedy_5_baseline_2025-11-30.npz
MNIST,8,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.030387992039322853,0.9061224489795918,,,0.016644001007080078,0.027750253677368164,cnn_experiments_data/arrays/mnist_8_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
MNIST,8,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.030923523008823395,0.9729945855893378,1.0,1,0.016644001007080078,4.243011713027954,cnn_experiments_data/arrays/mnist_8_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
MNIST,8,pure_logits,greedy_5_post_calib,5,4,0.02859828621149063,1.149521032902957,0.34985422740524785,1,0.016644001007080078,17.031908750534058,cnn_experiments_data/arrays/mnist_8_pure_logits_greedy_5_post_calib_2025-11-30.npz
MNIST,9,pure_logits,greedy_5_baseline,5,4,0.039008911699056625,,,,0.10133028030395508,0.0,cnn_experiments_data/arrays/mnist_9_pure_logits_greedy_5_baseline_2025-11-30.npz
MNIST,9,pure_logits,greedy_5_temp_pool_then_calibrate,5,4,0.038764357566833496,0.9061224489795918,,,0.10133028030395508,0.02761220932006836,cnn_experiments_data/arrays/mnist_9_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
MNIST,9,pure_logits,greedy_5_temp_calibrate_then_pool,5,4,0.03899329528212547,0.9729945855893378,1.0,1,0.10133028030395508,13.315594911575317,cnn_experiments_data/arrays/mnist_9_pure_logits_greedy_5_temp_calibrate_then_pool_2025-11-30.npz
MNIST,9,pure_logits,greedy_5_post_calib,5,4,0.0368947759270668,1.119533527696793,0.534777176176593,1,0.10133028030395508,12.027264595031738,cnn_experiments_data/arrays/mnist_9_pure_logits_greedy_5_post_calib_2025-11-30.npz
FMNIST,0,pure_logits,greedy_5_baseline,5,3,0.24319332838058472,,,,0.5238363742828369,0.0,cnn_experiments_data/arrays/fmnist_0_pure_logits_greedy_5_baseline_2025-11-30.npz
FMNIST,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,3,0.2427458018064499,0.9612244897959183,,,0.5238363742828369,0.026726484298706055,cnn_experiments_data/arrays/fmnist_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-11-30.npz
