SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
33,0.25_0.25_0.5_64,Calibrator_convex_comb,1.4727272727272727,0.0,1.0,0.0,1.3229872,1.3323089
33,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.4727272727272727,0.0,1.0,0.0,1.3229872,1.3323089
33,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.4727272727272727,0.0,1.0,0.0,1.3229871,1.3323089
33,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.3615158,1.3731675
33,0.25_0.25_0.5_64,Simple NN,,,,,2.3141754,2.3136084
34,0.25_0.25_0.5_64,Calibrator_pure_logits,1.6181818181818182,1.0,1.0,0.0,1.3890703,1.3846484
34,0.25_0.25_0.5_64,Calibrator_convex_comb,1.6181818181818182,0.0,1.0,0.0,1.3890713,1.3846495
34,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.6181818181818182,0.0,1.0,0.0,1.3890712,1.3846495
34,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.6181818181818182,0.0,1.0,0.0,1.3890713,1.3846495
34,0.25_0.25_0.5_64,DeepEnsemble,,,,0.0,1.4640002,1.4408507
34,0.25_0.25_0.5_64,Simple NN,,,,,2.309213,2.3102207
