SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
32,0.25_0.25_0.5_64,Simple NN,,,,,2.3050766,2.3051012
33,0.25_0.25_0.5_64,Calibrator_convex_comb,1.0727272727272728,0.04040404040404041,1.0,0.1,1.3032676,1.3082317
33,0.25_0.25_0.5_64,Calibrator_pure_logits,1.0909090909090908,1.0,1.0,0.1,1.3038535,1.3082478
33,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.0727272727272728,0.05050505050505051,1.0,0.1,1.3032928,1.3083667
33,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.0727272727272728,0.06060606060606061,1.0,0.1,1.3032864,1.308382
33,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3058313,1.3088582
33,0.25_0.25_0.5_64,Simple NN,,,,,2.313976,2.3134909
34,0.25_0.25_0.5_64,DeepEnsemble,,,,0.1,1.3725805,1.3459535
34,0.25_0.25_0.5_64,Calibrator_pure_logits,1.0909090909090908,1.0,1.0,0.1,1.3703084,1.3473418
34,0.25_0.25_0.5_64,Calibrator_convex_comb_global,1.0727272727272728,0.030303030303030304,1.0,0.1,1.3700647,1.3473825
34,0.25_0.25_0.5_64,Calibrator_convex_comb_no_exp,1.0727272727272728,0.030303030303030304,1.0,0.1,1.3699063,1.3474089
34,0.25_0.25_0.5_64,Calibrator_convex_comb,1.0727272727272728,0.030303030303030304,1.0,0.1,1.3699019,1.3474214
34,0.25_0.25_0.5_64,Simple NN,,,,,2.3092241,2.310193
