,SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test,NLL Holdout
41,6,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,1.0,0.9285714285714284,1.0,0.0,0.079398505,0.07796258,0.75944114
42,7,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09735224,0.09760791,0.9851951
43,7,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.0841131,0.08684019,0.8261301
44,7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.0,0.5,1.0,0.0,0.082884245,0.08524448,0.85960525
45,7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.9,0.0,1.0,0.0,0.08370841,0.08595513,0.8850289
46,7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.9,0.0,1.0,0.0,0.08370841,0.08595513,0.8656055
47,7,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,0.9,1.0,1.0,0.0,0.08370841,0.08595513,0.8623896
48,8,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09460358,0.09433239,1.0338496
49,8,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.080033846,0.08074351,0.7930296
50,8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.1,0.0,1.0,0.0,0.078097016,0.07903462,0.8415636
51,8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.9,0.0,1.0,0.0,0.079887025,0.07988088,0.8600712
52,8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.9,0.0,1.0,0.0,0.079887025,0.07988088,0.83996445
53,8,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,0.9,0.9285714285714284,1.0,0.0,0.07986637,0.07964084,0.80693877
54,9,0.1_0.1_0.8_384_OOD_with_noise,CNN,,,,,0.09384514,0.09360144,1.2636446
55,9,0.1_0.1_0.8_384_OOD_with_noise,DeepEnsemble,,,,0.0,0.084696524,0.085548036,0.91218925
56,9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_pure_logits,1.0,0.0,1.0,0.0,0.080778025,0.08191598,0.93772423
57,9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb,0.9,0.0,1.0,0.0,0.084150724,0.084409,0.92411935
58,9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_no_exp,0.9,0.0,1.0,0.0,0.084150724,0.084409,0.9255235
59,9,0.1_0.1_0.8_384_OOD_with_noise,Calibrator_convex_comb_global,0.9,1.0,1.0,0.0,0.084150724,0.084409,0.9340066
