SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test
31,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8909090909090909,4.040404040404041,1.0,0.0,0.14498612,0.13818307
31,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8727272727272728,25.62814070351759,1.0,0.0,0.1470631,0.13854441
31,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.9454545454545453,0.0,1.0,0.0,0.14730102,0.14051242
32,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14481449,0.13631427
32,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14730708,0.14163187
32,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8909090909090909,4.636363636363637,1.0,0.0,0.14547129,0.1365208
32,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.9090909090909092,6.8686868686868685,1.0,0.0,0.14402221,0.13382982
32,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8545454545454545,300.0,1.0,0.0,0.14336517,0.13129921
32,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.8727272727272728,0.9797979797979799,1.0,0.0,0.14511125,0.13358165
33,"('0.2_0.2_0.6_128_OOD_with_noise',)",Simple NN,,,,,0.14465858,0.13925673
33,"('0.2_0.2_0.6_128_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.14935772,0.14381441
33,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_pure_logits,0.8,3.2222222222222223,1.0,0.0,0.14611472,0.13415174
33,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb,0.8545454545454545,2.929292929292929,1.0,0.0,0.14573847,0.13612641
33,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7818181818181817,125.12562814070353,1.0,0.0,0.14421654,0.13375136
33,"('0.2_0.2_0.6_128_OOD_with_noise',)",Calibrator_convex_comb_global,0.7818181818181817,0.9696969696969697,1.0,0.0,0.14589761,0.13615377
