SEED,Split,Model,C1,C2,Epi Scalar,Epsilon,NLL Val,NLL Test,NLL Holdout
30,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9636363636363636,0.6984924623115578,1.0,0.0,0.45169964,0.42127198,0.6912822
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44701543,0.41580153,0.4954506
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44667134,0.41721493,0.7878065
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8909090909090909,3.8944723618090453,1.0,0.0,0.44256032,0.41572818,0.6061124
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.018181818181818,10.703517587939697,1.0,0.0,0.44258612,0.41745743,0.5748404
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8363636363636364,422.3618090452261,1.0,0.0,0.43934637,0.4143688,0.56998545
31,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8909090909090909,0.9849246231155779,1.0,0.0,0.4400532,0.41463235,0.5976118
32,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45131433,0.4198276,1.2741721
32,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44216526,0.41322225,0.59374136
32,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9454545454545453,1.4974874371859297,1.0,0.0,0.44169408,0.41195586,0.55335194
32,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9636363636363636,2.2613065326633164,1.0,0.0,0.4411361,0.41079396,0.52499664
32,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8909090909090909,50.0,1.0,0.0,0.4423733,0.4117784,0.5474857
32,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9272727272727272,0.864321608040201,1.0,0.0,0.44105992,0.4105925,0.53821987
33,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45764515,0.4265463,0.80145687
33,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.46552107,0.43085554,1.1834695
33,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.1272727272727272,2.8542713567839195,1.0,0.0,0.45552942,0.4237142,0.726447
33,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.2,9.045226130653266,1.0,0.0,0.45426872,0.42233646,0.5660056
33,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7818181818181817,1000.0,1.0,0.0,0.44724903,0.41746044,0.55137205
33,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8363636363636364,0.9949748743718593,1.0,0.0,0.44839826,0.42048422,0.58638716
34,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.4565323,0.43582156,0.908514
34,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44487792,0.4148763,0.6192782
34,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8909090909090909,2.899497487437186,1.0,0.0,0.44294086,0.41194305,0.4666909
34,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9090909090909092,13.567839195979898,1.0,0.0,0.4425417,0.41212812,0.55599546
34,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7818181818181817,408.0402010050251,1.0,0.0,0.43888563,0.4101014,0.5513173
34,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8,0.9849246231155779,1.0,0.0,0.43893096,0.4101609,0.55265945
35,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.4579988,0.4228061,1.3244969
35,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44456336,0.4164127,0.695456
35,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.018181818181818,3.6231155778894473,1.0,0.0,0.4431708,0.41464135,0.57549804
35,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.0363636363636364,14.472361809045225,1.0,0.0,0.4430716,0.41415748,0.5676444
35,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.0545454545454545,59.54773869346734,1.0,0.0,0.44343603,0.4151014,0.5971909
35,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.0545454545454545,0.914572864321608,1.0,0.0,0.44355145,0.41548344,0.6189622
36,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45890293,0.43825796,2.0257928
36,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.46690074,0.43072364,0.9594264
36,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.2909090909090908,1.7236180904522613,1.0,0.0,0.45695013,0.42733455,0.7891924
36,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.2727272727272727,21.105527638190953,1.0,0.0,0.45603883,0.4271411,0.5664065
36,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.2545454545454544,536.9346733668342,1.0,0.0,0.45646086,0.4271,0.61441725
36,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.2727272727272727,0.9798994974874372,1.0,0.0,0.45685193,0.42746598,0.6944884
37,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44545424,0.4247028,0.56068385
37,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44737175,0.42279664,0.8460021
37,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.0545454545454545,8.371859296482413,1.0,0.0,0.44306993,0.42046094,0.5603055
37,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.0909090909090908,22.01005025125628,1.0,0.0,0.44278753,0.4195432,0.5495714
37,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.0727272727272728,1000.0,1.0,0.0,0.4426428,0.42052034,0.5733618
37,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.0727272727272728,0.9949748743718593,1.0,0.0,0.44275403,0.42077458,0.5941029
38,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.4461305,0.41992986,0.56199914
38,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44389302,0.41536856,0.65322196
38,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.018181818181818,1.949748743718593,1.0,0.0,0.44292104,0.4164708,0.6176594
38,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.0363636363636364,5.125628140703517,1.0,0.0,0.4423644,0.4167827,0.59859574
38,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9818181818181817,59.54773869346734,1.0,0.0,0.4418491,0.41640636,0.570646
38,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9090909090909092,0.9748743718592965,1.0,0.0,0.4410387,0.4151189,0.5610926
39,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44736996,0.41549584,0.70421314
39,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.4421371,0.41455036,0.5420708
39,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.9272727272727272,1.949748743718593,1.0,0.0,0.44180667,0.41301417,0.55716133
39,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9636363636363636,4.824120603015075,1.0,0.0,0.4412733,0.4120962,0.5105975
39,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.9090909090909092,50.0,1.0,0.0,0.44234028,0.41187322,0.51845235
39,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.9454545454545453,0.8140703517587939,1.0,0.0,0.44159606,0.41266504,0.51917845
40,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.4699772,0.438558,0.80117637
40,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.4472836,0.4167888,0.79851735
40,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,1.0727272727272728,1.9949748743718594,1.0,0.0,0.44431704,0.41705754,0.62462646
40,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,1.0727272727272728,5.276381909547738,1.0,0.0,0.44316185,0.4175271,0.57057023
40,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,1.0545454545454545,50.0,1.0,0.0,0.44378263,0.41692537,0.5754326
40,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,1.0909090909090908,0.914572864321608,1.0,0.0,0.4443432,0.41690117,0.6216609
41,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.44854924,0.4161256,0.6764709
41,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.45776892,0.42907757,0.9082284
41,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8545454545454545,7.648241206030151,1.0,0.0,0.454819,0.42454448,0.64937085
41,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9272727272727272,23.21608040201005,1.0,0.0,0.45486516,0.42616025,0.550254
41,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.8909090909090909,1000.0,1.0,0.0,0.4553868,0.42685324,0.57247484
41,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8545454545454545,0.9949748743718593,1.0,0.0,0.45423308,0.42624784,0.6064529
42,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45057726,0.4211526,0.95603895
42,"('0.5_0.2_0.3_32_OOD_with_noise',)",DeepEnsemble,,,,0.0,0.44652298,0.41733143,0.5823722
42,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_pure_logits,0.8545454545454545,3.4874371859296485,1.0,0.0,0.44498414,0.41554034,0.53395253
42,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb,0.9272727272727272,11.909547738693465,1.0,0.0,0.44435066,0.4149933,0.53882325
42,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_no_exp,0.7818181818181817,331.6582914572864,1.0,0.0,0.44155547,0.41267598,0.5421907
42,"('0.5_0.2_0.3_32_OOD_with_noise',)",Calibrator_convex_comb_global,0.8181818181818181,0.9798994974874372,1.0,0.0,0.44222033,0.41327092,0.5426195
43,"('0.5_0.2_0.3_32_OOD_with_noise',)",Simple NN,,,,,0.45132604,0.4214104,0.66232985
