dataset,seed,method,ensemble_type,ensemble_size,nll_test,c1,c2,epi_scalar
imdb,0,convex_comb,top_n_baseline,10,0.15346787869930267,,,
imdb,0,convex_comb,greedy_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb,top_n__post_calib,10,0.14387028,0.6486297376093294,0.0,1
imdb,0,convex_comb,greedy_post_calib,50,0.12424527,0.9651478550603916,0.04897959183673469,1
imdb,0,convex_comb,greedy_calib_once,16,0.12469235,1.9211995002082467,0.06747188671386922,1
imdb,0,convex_comb,greedy_calib_every_step,18,0.123586975,1.6290712203248647,0.10695543523531861,1
imdb,0,convex_comb,greedy_calib_every_step_subset,3,0.1379709,2.038000832986256,3.6,1
imdb,0,pure_logits,top_n_baseline,10,0.15346787869930267,,,
imdb,0,pure_logits,greedy_baseline,50,0.12414136528968811,,,
imdb,0,pure_logits,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,pure_logits,top_n__post_calib,10,0.13780126,1.1671636817992503,0.42982090795501876,1
imdb,0,pure_logits,greedy_post_calib,50,0.124173574,0.9886880466472303,0.9995835068721366,1
imdb,0,pure_logits,greedy_calib_once,8,0.12560482,1.573744273219492,3.370262390670554,1
imdb,0,pure_logits,greedy_calib_every_step,17,0.12301481,1.1768096626405664,2.8221574344023326,1
imdb,0,pure_logits,greedy_calib_every_step_subset,4,0.1365919,1.8503790087463559,2.938775510204082,1
imdb,0,convex_comb_no_exp,top_n_baseline,10,0.15346787869930267,,,
imdb,0,convex_comb_no_exp,greedy_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb_no_exp,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb_no_exp,top_n__post_calib,10,0.14387028,0.6486297376093294,0.0,1
imdb,0,convex_comb_no_exp,greedy_post_calib,50,0.12417456,0.9872886297376093,0.0,1
imdb,0,convex_comb_no_exp,greedy_calib_once,13,0.12577958,1.9610329029571014,0.0816326530612245,1
imdb,0,convex_comb_no_exp,greedy_calib_every_step,18,0.123586975,1.6290712203248647,0.12244897959183673,1
imdb,0,convex_comb_no_exp,greedy_calib_every_step_subset,3,0.13793099,2.054843815077051,6.0,1
imdb,0,convex_comb_global,top_n_baseline,10,0.15346787869930267,,,
imdb,0,convex_comb_global,greedy_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb_global,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb_global,top_n__post_calib,10,0.14386135,0.6228904623073719,0.2707205331112036,1
imdb,0,convex_comb_global,greedy_post_calib,50,0.1242744,0.9573011245314453,0.10912119950020824,1
imdb,0,convex_comb_global,greedy_calib_once,23,0.12409015,1.6843981674302375,0.20324864639733442,1
imdb,0,convex_comb_global,greedy_calib_every_step,18,0.123618536,1.615826738858809,0.19825072886297374,1
imdb,0,convex_comb_global,greedy_calib_every_step_subset,5,0.13907705,2.0716867971678465,0.05297792586422324,1
imdb,0,convex_comb,top_n_baseline,10,0.15346787869930267,,,
imdb,0,convex_comb,greedy_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb,top_n__post_calib,10,0.14387028,0.6486297376093294,0.0,1
imdb,0,convex_comb,greedy_post_calib,50,0.12424527,0.9651478550603916,0.06530612244897958,1
imdb,0,convex_comb,greedy_calib_once,16,0.12469235,1.9211995002082467,0.06730528946272386,1
imdb,0,convex_comb,greedy_calib_every_step,18,0.123586975,1.6290712203248647,0.09795918367346938,1
imdb,0,convex_comb,greedy_calib_every_step_subset,3,0.13798742,2.032753019575177,0.8396501457725947,5
imdb,0,pure_logits,top_n_baseline,10,0.15346787869930267,,,
imdb,0,pure_logits,greedy_baseline,50,0.12414136528968811,,,
imdb,0,pure_logits,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,pure_logits,top_n__post_calib,10,0.13780126,1.1671636817992503,0.42982090795501876,1
imdb,0,pure_logits,greedy_post_calib,50,0.124173574,0.9886880466472303,0.9995835068721366,1
imdb,0,pure_logits,greedy_calib_once,8,0.12560482,1.573744273219492,3.370262390670554,1
imdb,0,pure_logits,greedy_calib_every_step,17,0.12301481,1.1768096626405664,2.8221574344023326,1
imdb,0,pure_logits,greedy_calib_every_step_subset,4,0.1365919,1.8503790087463559,2.938775510204082,1
