dataset,seed,method,ensemble_type,ensemble_size,nll_test,c1,c2,epi_scalar
SetFit/mnli,0,convex_comb,greedy_5_baseline,5,0.4036952257156372,,,
SetFit/mnli,0,convex_comb,greedy_50_baseline,50,0.3572167456150055,,,
SetFit/mnli,0,convex_comb,greedy_50_temp_baseline,50,0.428137868642807,2.063265306122449,,
SetFit/mnli,0,convex_comb,greedy_5_post_calib,5,0.38531002,1.573744273219492,0.0,1
SetFit/mnli,0,convex_comb,greedy_50_post_calib,50,0.3532877,1.53076218242399,0.0,1
SetFit/mnli,0,convex_comb,greedy_50_calib_once,22,0.34602308,2.032753019575177,0.0,1
SetFit/mnli,0,pure_logits,greedy_5_baseline,5,0.4036952257156372,,,
SetFit/mnli,0,pure_logits,greedy_50_baseline,50,0.3572167456150055,,,
SetFit/mnli,0,pure_logits,greedy_50_temp_baseline,50,0.428137868642807,2.063265306122449,,
SetFit/mnli,0,pure_logits,greedy_5_post_calib,5,0.36540848,1.8804664723032072,0.36318200749687635,1
SetFit/mnli,0,pure_logits,greedy_50_post_calib,50,0.34621453,1.868021657642649,0.5247813411078717,1
SetFit/mnli,0,pure_logits,greedy_50_calib_once,23,0.34606966,2.016359850062474,0.9579341940857976,1
SetFit/mnli,0,convex_comb_no_exp,greedy_5_baseline,5,0.4036952257156372,,,
SetFit/mnli,0,convex_comb_no_exp,greedy_50_baseline,50,0.3572167456150055,,,
SetFit/mnli,0,convex_comb_no_exp,greedy_50_temp_baseline,50,0.428137868642807,2.063265306122449,,
SetFit/mnli,0,convex_comb_no_exp,greedy_5_post_calib,5,0.38531002,1.573744273219492,0.0,1
SetFit/mnli,0,convex_comb_no_exp,greedy_50_post_calib,50,0.3532877,1.53076218242399,0.0,1
SetFit/mnli,0,convex_comb_no_exp,greedy_50_calib_once,22,0.34602308,2.032753019575177,0.0,1
SetFit/mnli,0,convex_comb_global,greedy_5_baseline,5,0.4036952257156372,,,
SetFit/mnli,0,convex_comb_global,greedy_50_baseline,50,0.3572167456150055,,,
SetFit/mnli,0,convex_comb_global,greedy_50_temp_baseline,50,0.428137868642807,2.063265306122449,,
SetFit/mnli,0,convex_comb_global,greedy_5_post_calib,5,0.38531002,1.573744273219492,0.0,1
SetFit/mnli,0,convex_comb_global,greedy_50_post_calib,50,0.3532877,1.53076218242399,0.0,1
SetFit/mnli,0,convex_comb_global,greedy_50_calib_once,22,0.34602308,2.032753019575177,0.0,1
SetFit/mnli,1,convex_comb,greedy_5_baseline,5,0.4077127277851105,,,
SetFit/mnli,1,convex_comb,greedy_50_baseline,50,0.3608095347881317,,,
SetFit/mnli,1,convex_comb,greedy_50_temp_baseline,50,0.4301745891571045,2.0081632653061225,,
SetFit/mnli,1,convex_comb,greedy_5_post_calib,5,0.38865998,1.543107038733861,0.0,1
SetFit/mnli,1,convex_comb,greedy_50_post_calib,50,0.35630244,1.5060724698042485,0.0,1
SetFit/mnli,1,convex_comb,greedy_50_calib_once,23,0.3484822,1.9999666805497711,0.0,1
SetFit/mnli,1,pure_logits,greedy_5_baseline,5,0.4077127277851105,,,
SetFit/mnli,1,pure_logits,greedy_50_baseline,50,0.3608095347881317,,,
SetFit/mnli,1,pure_logits,greedy_50_temp_baseline,50,0.4301745891571045,2.0081632653061225,,
SetFit/mnli,1,pure_logits,greedy_5_post_calib,5,0.37046674,1.8388338192419824,0.3698458975426906,1
SetFit/mnli,1,pure_logits,greedy_50_post_calib,50,0.34928903,1.8592253227821742,0.4897959183673469,1
SetFit/mnli,1,pure_logits,greedy_50_calib_once,20,0.34945312,2.032753019575177,0.8263223656809663,1
SetFit/mnli,1,convex_comb_no_exp,greedy_5_baseline,5,0.4077127277851105,,,
SetFit/mnli,1,convex_comb_no_exp,greedy_50_baseline,50,0.3608095347881317,,,
SetFit/mnli,1,convex_comb_no_exp,greedy_50_temp_baseline,50,0.4301745891571045,2.0081632653061225,,
SetFit/mnli,1,convex_comb_no_exp,greedy_5_post_calib,5,0.38865998,1.543107038733861,0.0,1
SetFit/mnli,1,convex_comb_no_exp,greedy_50_post_calib,50,0.35630244,1.5060724698042485,0.0,1
SetFit/mnli,1,convex_comb_no_exp,greedy_50_calib_once,23,0.3484822,1.9999666805497711,0.0,1
SetFit/mnli,1,convex_comb_global,greedy_5_baseline,5,0.4077127277851105,,,
SetFit/mnli,1,convex_comb_global,greedy_50_baseline,50,0.3608095347881317,,,
SetFit/mnli,1,convex_comb_global,greedy_50_temp_baseline,50,0.4301745891571045,2.0081632653061225,,
SetFit/mnli,1,convex_comb_global,greedy_5_post_calib,5,0.38865998,1.543107038733861,0.0,1
SetFit/mnli,1,convex_comb_global,greedy_50_post_calib,50,0.35630244,1.5060724698042485,0.0,1
SetFit/mnli,1,convex_comb_global,greedy_50_calib_once,23,0.3484822,1.9999666805497711,0.0,1
SetFit/mnli,2,convex_comb,greedy_5_baseline,5,0.40722689032554626,,,
SetFit/mnli,2,convex_comb,greedy_50_baseline,50,0.3596785068511963,,,
SetFit/mnli,2,convex_comb,greedy_50_temp_baseline,50,0.42862454056739807,2.063265306122449,,
SetFit/mnli,2,convex_comb,greedy_5_post_calib,5,0.3876949,1.5609496043315287,0.0,1
SetFit/mnli,2,convex_comb,greedy_50_post_calib,50,0.3549655,1.543107038733861,0.0,1
SetFit/mnli,2,convex_comb,greedy_50_calib_once,22,0.34762737,2.032753019575177,0.0,1
SetFit/mnli,2,pure_logits,greedy_5_baseline,5,0.40722689032554626,,,
SetFit/mnli,2,pure_logits,greedy_50_baseline,50,0.3596785068511963,,,
SetFit/mnli,2,pure_logits,greedy_50_temp_baseline,50,0.42862454056739807,2.063265306122449,,
SetFit/mnli,2,pure_logits,greedy_5_post_calib,5,0.36781937,1.8654227405247816,0.3765097875885048,1
SetFit/mnli,2,pure_logits,greedy_50_post_calib,50,0.34794137,1.868021657642649,0.5247813411078717,1
SetFit/mnli,2,pure_logits,greedy_50_calib_once,24,0.34786907,2.032753019575177,0.8129945855893378,1
SetFit/mnli,2,convex_comb_no_exp,greedy_5_baseline,5,0.40722689032554626,,,
SetFit/mnli,2,convex_comb_no_exp,greedy_50_baseline,50,0.3596785068511963,,,
SetFit/mnli,2,convex_comb_no_exp,greedy_50_temp_baseline,50,0.42862454056739807,2.063265306122449,,
SetFit/mnli,2,convex_comb_no_exp,greedy_5_post_calib,5,0.3876949,1.5609496043315287,0.0,1
SetFit/mnli,2,convex_comb_no_exp,greedy_50_post_calib,50,0.3549655,1.543107038733861,0.0,1
SetFit/mnli,2,convex_comb_no_exp,greedy_50_calib_once,22,0.34762737,2.032753019575177,0.0,1
SetFit/mnli,2,convex_comb_global,greedy_5_baseline,5,0.40722689032554626,,,
SetFit/mnli,2,convex_comb_global,greedy_50_baseline,50,0.3596785068511963,,,
SetFit/mnli,2,convex_comb_global,greedy_50_temp_baseline,50,0.42862454056739807,2.063265306122449,,
SetFit/mnli,2,convex_comb_global,greedy_5_post_calib,5,0.3876949,1.5609496043315287,0.0,1
SetFit/mnli,2,convex_comb_global,greedy_50_post_calib,50,0.3549655,1.543107038733861,0.0,1
SetFit/mnli,2,convex_comb_global,greedy_50_calib_once,22,0.34762737,2.032753019575177,0.0,1
