dataset,seed,method,ensemble_type,ensemble_size,nll_test,c1,c2,epi_scalar
imdb,0,convex_comb,top_n_baseline,10,0.15346787869930267,,,
imdb,0,convex_comb,greedy_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb,top_n__post_calib,10,0.14386573,0.6471428571428571,0.006122448979591799,1
imdb,0,convex_comb,greedy_post_calib,50,0.124239646,0.966734693877551,0.04285714285714287,1
imdb,0,convex_comb,greedy_calib_once,16,0.124694206,1.9144897959183673,0.06734693877551018,1
imdb,0,convex_comb,greedy_calib_every_step,17,0.12381642,1.6389795918367347,0.07959183673469389,1
imdb,0,convex_comb,greedy_calib_every_step_subset,3,0.13797787,2.0357142857142856,3.3,1
imdb,0,pure_logits,top_n_baseline,10,0.15346787869930267,,,
imdb,0,pure_logits,greedy_baseline,50,0.12414136528968811,,,
imdb,0,pure_logits,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,pure_logits,top_n__post_calib,10,0.13778107,1.143061224489796,-0.4693877551020408,1
imdb,0,pure_logits,greedy_post_calib,50,0.1241704,0.9887755102040816,1.0,1
imdb,0,pure_logits,greedy_calib_once,8,0.12560466,1.572857142857143,3.36734693877551,1
imdb,0,pure_logits,greedy_calib_every_step,17,0.12302783,1.1651020408163264,2.836734693877551,1
imdb,0,pure_logits,greedy_calib_every_step_subset,4,0.13659237,1.8373469387755104,2.9591836734693877,1
imdb,0,convex_comb_no_exp,top_n_baseline,10,0.15346787869930267,,,
imdb,0,convex_comb_no_exp,greedy_baseline,50,0.12414136528968811,,,
imdb,0,convex_comb_no_exp,greedy_temp_baseline,50,0.17255593836307526,0.6306122448979592,,
imdb,0,convex_comb_no_exp,top_n__post_calib,10,0.14386573,0.6471428571428571,0.010204081632653073,1
imdb,0,convex_comb_no_exp,greedy_post_calib,50,0.124239646,0.966734693877551,0.05102040816326525,1
