dataset,seed,method,ensemble_type,ensemble_size,nll_test,c1,c2,epi_scalar
imdb,2,convex_comb_global,greedy_50_temp_baseline,50,0.20034964382648468,1.1816326530612244,,
imdb,2,convex_comb_global,greedy_5_post_calib,5,0.13683169,0.8683881715951687,0.0,1
imdb,2,convex_comb_global,greedy_50_post_calib,50,0.12502551,1.0121782590587256,0.0,1
imdb,2,convex_comb_global,greedy_50_calib_every_step,17,0.12572631,1.753869221157851,0.16942940441482712,1
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_5_baseline,5,0.541911244392395,,,
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_50_baseline,50,0.5077022314071655,,,
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_50_temp_baseline,50,0.7088313698768616,1.6224489795918369,,
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_5_post_calib,5,0.5348957,1.2316867971678467,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_50_post_calib,50,0.50721157,1.0583090379008746,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb,greedy_50_calib_every_step,20,0.508719,1.5481549354435653,0.0,1
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_baseline,5,0.541911244392395,,,
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_baseline,50,0.5077022314071655,,,
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_temp_baseline,50,0.7088313698768616,1.6224489795918369,,
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_5_post_calib,5,0.53018403,1.3603831736776342,0.7530195751770096,1
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_post_calib,50,0.5067363,1.153219491878384,0.9329446064139941,1
mteb/tweet_sentiment_extraction,0,pure_logits,greedy_50_calib_every_step,20,0.5079549,1.5060724698042485,1.639316951270304,1
mteb/tweet_sentiment_extraction,0,convex_comb_no_exp,greedy_5_baseline,5,0.541911244392395,,,
mteb/tweet_sentiment_extraction,0,convex_comb_no_exp,greedy_50_baseline,50,0.5077022314071655,,,
mteb/tweet_sentiment_extraction,0,convex_comb_no_exp,greedy_50_temp_baseline,50,0.7088313698768616,1.6224489795918369,,
mteb/tweet_sentiment_extraction,0,convex_comb_no_exp,greedy_5_post_calib,5,0.5348957,1.2316867971678467,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb_no_exp,greedy_50_post_calib,50,0.50721157,1.0583090379008746,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb_no_exp,greedy_50_calib_every_step,20,0.508719,1.5481549354435653,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb_global,greedy_5_baseline,5,0.541911244392395,,,
mteb/tweet_sentiment_extraction,0,convex_comb_global,greedy_50_baseline,50,0.5077022314071655,,,
mteb/tweet_sentiment_extraction,0,convex_comb_global,greedy_50_temp_baseline,50,0.7088313698768616,1.6224489795918369,,
mteb/tweet_sentiment_extraction,0,convex_comb_global,greedy_5_post_calib,5,0.5348957,1.2316867971678467,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb_global,greedy_50_post_calib,50,0.50721157,1.0583090379008746,0.0,1
mteb/tweet_sentiment_extraction,0,convex_comb_global,greedy_50_calib_every_step,20,0.508719,1.5481549354435653,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_5_baseline,5,0.5260146856307983,,,
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_50_baseline,50,0.4963534474372864,,,
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_50_temp_baseline,50,0.6870800852775574,1.6775510204081634,,
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_5_post_calib,5,0.52225256,1.286563931695127,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_50_post_calib,50,0.49689612,1.1219325281132861,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb,greedy_50_calib_every_step,21,0.50194675,1.711786755518534,0.0,1
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_5_baseline,5,0.5260146856307983,,,
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_baseline,50,0.4963534474372864,,,
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_temp_baseline,50,0.6870800852775574,1.6775510204081634,,
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_5_post_calib,5,0.5204228,1.4630903790087464,0.6397334443981675,1
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_post_calib,50,0.49789792,1.281865889212828,0.8929612661391086,1
mteb/tweet_sentiment_extraction,1,pure_logits,greedy_50_calib_every_step,22,0.5019837,1.753869221157851,1.799250312369846,1
mteb/tweet_sentiment_extraction,1,convex_comb_no_exp,greedy_5_baseline,5,0.5260146856307983,,,
mteb/tweet_sentiment_extraction,1,convex_comb_no_exp,greedy_50_baseline,50,0.4963534474372864,,,
mteb/tweet_sentiment_extraction,1,convex_comb_no_exp,greedy_50_temp_baseline,50,0.6870800852775574,1.6775510204081634,,
mteb/tweet_sentiment_extraction,1,convex_comb_no_exp,greedy_5_post_calib,5,0.52225256,1.286563931695127,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb_no_exp,greedy_50_post_calib,50,0.49689612,1.1219325281132861,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb_no_exp,greedy_50_calib_every_step,21,0.50194675,1.711786755518534,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb_global,greedy_5_baseline,5,0.5260146856307983,,,
mteb/tweet_sentiment_extraction,1,convex_comb_global,greedy_50_baseline,50,0.4963534474372864,,,
mteb/tweet_sentiment_extraction,1,convex_comb_global,greedy_50_temp_baseline,50,0.6870800852775574,1.6775510204081634,,
mteb/tweet_sentiment_extraction,1,convex_comb_global,greedy_5_post_calib,5,0.52205896,1.2518783840066638,0.034319033735943354,1
mteb/tweet_sentiment_extraction,1,convex_comb_global,greedy_50_post_calib,50,0.49689612,1.1219325281132861,0.0,1
mteb/tweet_sentiment_extraction,1,convex_comb_global,greedy_50_calib_every_step,21,0.50194675,1.711786755518534,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_5_baseline,5,0.5333333015441895,,,
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_baseline,50,0.5011298060417175,,,
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_temp_baseline,50,0.7009573578834534,1.6775510204081634,,
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_5_post_calib,5,0.5273096,1.2760183256976259,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_post_calib,50,0.5008243,1.0495626822157433,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb,greedy_50_calib_every_step,25,0.50084186,1.4868804664723034,0.0,1
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_5_baseline,5,0.5333333015441895,,,
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_baseline,50,0.5011298060417175,,,
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_temp_baseline,50,0.7009573578834534,1.6775510204081634,,
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_5_post_calib,5,0.5220749,1.4274052478134114,0.694710537276135,1
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_post_calib,50,0.50033224,1.1283298625572677,0.9496043315285299,1
mteb/tweet_sentiment_extraction,2,pure_logits,greedy_50_calib_every_step,27,0.49927646,1.4274052478134114,1.8742190753852563,1
mteb/tweet_sentiment_extraction,2,convex_comb_no_exp,greedy_5_baseline,5,0.5333333015441895,,,
mteb/tweet_sentiment_extraction,2,convex_comb_no_exp,greedy_50_baseline,50,0.5011298060417175,,,
mteb/tweet_sentiment_extraction,2,convex_comb_no_exp,greedy_50_temp_baseline,50,0.7009573578834534,1.6775510204081634,,
mteb/tweet_sentiment_extraction,2,convex_comb_no_exp,greedy_5_post_calib,5,0.5273096,1.2760183256976259,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb_no_exp,greedy_50_post_calib,50,0.5008243,1.0495626822157433,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb_no_exp,greedy_50_calib_every_step,25,0.50084186,1.4868804664723034,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb_global,greedy_5_baseline,5,0.5333333015441895,,,
mteb/tweet_sentiment_extraction,2,convex_comb_global,greedy_50_baseline,50,0.5011298060417175,,,
mteb/tweet_sentiment_extraction,2,convex_comb_global,greedy_50_temp_baseline,50,0.7009573578834534,1.6775510204081634,,
mteb/tweet_sentiment_extraction,2,convex_comb_global,greedy_5_post_calib,5,0.5273096,1.2760183256976259,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb_global,greedy_50_post_calib,50,0.5008243,1.0495626822157433,0.0,1
mteb/tweet_sentiment_extraction,2,convex_comb_global,greedy_50_calib_every_step,25,0.50084186,1.4868804664723034,0.0,1
ag_news,0,convex_comb,greedy_5_baseline,5,0.23191726207733154,,,
ag_news,0,convex_comb,greedy_50_baseline,50,0.1978360414505005,,,
ag_news,0,convex_comb,greedy_50_temp_baseline,50,0.26340174674987793,1.6775510204081634,,
ag_news,0,convex_comb,greedy_5_post_calib,5,0.19988602,1.6290712203248647,0.0,1
ag_news,0,convex_comb,greedy_50_post_calib,50,0.19369885,1.3848729695960018,0.0,1
ag_news,0,convex_comb,greedy_50_calib_every_step,26,0.19154334,1.7397251145356103,0.0,1
ag_news,0,pure_logits,greedy_5_baseline,5,0.23191726207733154,,,
ag_news,0,pure_logits,greedy_50_baseline,50,0.1978360414505005,,,
ag_news,0,pure_logits,greedy_50_temp_baseline,50,0.26340174674987793,1.6775510204081634,,
ag_news,0,pure_logits,greedy_5_post_calib,5,0.19786724,1.7255810079133695,0.6247396917950854,1
ag_news,0,pure_logits,greedy_50_post_calib,50,0.19088167,1.6505122865472721,0.7330279050395669,1
ag_news,0,pure_logits,greedy_50_calib_every_step,42,0.19170356,1.4649895876718035,1.5593502707205331,1
ag_news,0,convex_comb_no_exp,greedy_5_baseline,5,0.23191726207733154,,,
ag_news,0,convex_comb_no_exp,greedy_50_baseline,50,0.1978360414505005,,,
ag_news,0,convex_comb_no_exp,greedy_50_temp_baseline,50,0.26340174674987793,1.6775510204081634,,
ag_news,0,convex_comb_no_exp,greedy_5_post_calib,5,0.19988602,1.6290712203248647,0.0,1
ag_news,0,convex_comb_no_exp,greedy_50_post_calib,50,0.19369885,1.3848729695960018,0.0,1
ag_news,0,convex_comb_no_exp,greedy_50_calib_every_step,26,0.19154334,1.7397251145356103,0.0,1
ag_news,0,convex_comb_global,greedy_5_baseline,5,0.23191726207733154,,,
ag_news,0,convex_comb_global,greedy_50_baseline,50,0.1978360414505005,,,
ag_news,0,convex_comb_global,greedy_50_temp_baseline,50,0.26340174674987793,1.6775510204081634,,
ag_news,0,convex_comb_global,greedy_5_post_calib,5,0.19988602,1.6290712203248647,0.0,1
ag_news,0,convex_comb_global,greedy_50_post_calib,50,0.19369885,1.3848729695960018,0.0,1
ag_news,0,convex_comb_global,greedy_50_calib_every_step,26,0.19154334,1.7397251145356103,0.0,1
ag_news,1,convex_comb,greedy_5_baseline,5,0.2355262190103531,,,
ag_news,1,convex_comb,greedy_50_baseline,50,0.2012188732624054,,,
ag_news,1,convex_comb,greedy_50_temp_baseline,50,0.26569637656211853,1.6775510204081634,,
ag_news,1,convex_comb,greedy_5_post_calib,5,0.2012162,1.6423157017909205,0.0,1
ag_news,1,convex_comb,greedy_50_post_calib,50,0.19637217,1.3634319033735944,0.0,1
ag_news,1,convex_comb,greedy_50_calib_every_step,26,0.19267218,1.7114369012911288,0.0,1
ag_news,1,pure_logits,greedy_5_baseline,5,0.2355262190103531,,,
ag_news,1,pure_logits,greedy_50_baseline,50,0.2012188732624054,,,
ag_news,1,pure_logits,greedy_50_temp_baseline,50,0.26569637656211853,1.6775510204081634,,
ag_news,1,pure_logits,greedy_5_post_calib,5,0.19771838,1.8096459808413161,0.599750104123282,1
ag_news,1,pure_logits,greedy_50_post_calib,50,0.19330099,1.6377176176593087,0.7396917950853812,1
ag_news,1,pure_logits,greedy_50_calib_every_step,36,0.19350274,1.4306538942107456,1.5726780508121616,1
ag_news,1,convex_comb_no_exp,greedy_5_baseline,5,0.2355262190103531,,,
ag_news,1,convex_comb_no_exp,greedy_50_baseline,50,0.2012188732624054,,,
ag_news,1,convex_comb_no_exp,greedy_50_temp_baseline,50,0.26569637656211853,1.6775510204081634,,
ag_news,1,convex_comb_no_exp,greedy_5_post_calib,5,0.2012162,1.6423157017909205,0.0,1
ag_news,1,convex_comb_no_exp,greedy_50_post_calib,50,0.19637217,1.3634319033735944,0.0,1
ag_news,1,convex_comb_no_exp,greedy_50_calib_every_step,26,0.19267218,1.7114369012911288,0.0,1
ag_news,1,convex_comb_global,greedy_5_baseline,5,0.2355262190103531,,,
ag_news,1,convex_comb_global,greedy_50_baseline,50,0.2012188732624054,,,
ag_news,1,convex_comb_global,greedy_50_temp_baseline,50,0.26569637656211853,1.6775510204081634,,
ag_news,1,convex_comb_global,greedy_5_post_calib,5,0.2012162,1.6423157017909205,0.0,1
ag_news,1,convex_comb_global,greedy_50_post_calib,50,0.19637217,1.3634319033735944,0.0,1
ag_news,1,convex_comb_global,greedy_50_calib_every_step,26,0.19267218,1.7114369012911288,0.0,1
ag_news,2,convex_comb,greedy_5_baseline,5,0.23384779691696167,,,
ag_news,2,convex_comb,greedy_50_baseline,50,0.19820080697536469,,,
ag_news,2,convex_comb,greedy_50_temp_baseline,50,0.26685136556625366,1.6775510204081634,,
ag_news,2,convex_comb,greedy_5_post_calib,5,0.2023529,1.615826738858809,0.0,1
ag_news,2,convex_comb,greedy_50_post_calib,50,0.19473395,1.3848729695960018,0.0,1
ag_news,2,convex_comb,greedy_50_calib_every_step,27,0.19102813,1.7255810079133695,0.0,1
ag_news,2,pure_logits,greedy_5_baseline,5,0.23384779691696167,,,
ag_news,2,pure_logits,greedy_50_baseline,50,0.19820080697536469,,,
ag_news,2,pure_logits,greedy_50_temp_baseline,50,0.26685136556625366,1.6775510204081634,,
ag_news,2,pure_logits,greedy_5_post_calib,5,0.20028742,1.7255810079133695,0.534777176176593,1
ag_news,2,pure_logits,greedy_50_post_calib,50,0.19186251,1.6690045814244066,0.7097042898792171,1
ag_news,2,pure_logits,greedy_50_calib_every_step,33,0.19155774,1.4155102040816328,1.7059558517284465,1
ag_news,2,convex_comb_no_exp,greedy_5_baseline,5,0.23384779691696167,,,
ag_news,2,convex_comb_no_exp,greedy_50_baseline,50,0.19820080697536469,,,
ag_news,2,convex_comb_no_exp,greedy_50_temp_baseline,50,0.26685136556625366,1.6775510204081634,,
ag_news,2,convex_comb_no_exp,greedy_5_post_calib,5,0.2023529,1.615826738858809,0.0,1
ag_news,2,convex_comb_no_exp,greedy_50_post_calib,50,0.19473395,1.3848729695960018,0.0,1
ag_news,2,convex_comb_no_exp,greedy_50_calib_every_step,27,0.19102813,1.7255810079133695,0.0,1
ag_news,2,convex_comb_global,greedy_5_baseline,5,0.23384779691696167,,,
ag_news,2,convex_comb_global,greedy_50_baseline,50,0.19820080697536469,,,
ag_news,2,convex_comb_global,greedy_50_temp_baseline,50,0.26685136556625366,1.6775510204081634,,
ag_news,2,convex_comb_global,greedy_5_post_calib,5,0.2023529,1.615826738858809,0.0,1
ag_news,2,convex_comb_global,greedy_50_post_calib,50,0.19473395,1.3848729695960018,0.0,1
ag_news,2,convex_comb_global,greedy_50_calib_every_step,27,0.19102813,1.7255810079133695,0.0,1
