dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc
imdb,0,convex_comb,greedy_unique_5_baseline,5,5,0.1149728223681449,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9992145156189742,1.5102,0.9932418336000001
imdb,0,convex_comb,greedy_50_baseline,50,19,0.1030757054686546,,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9971136166070437,1.66992,0.9911197216
imdb,0,convex_comb,greedy_50_temp_baseline,50,19,0.1030492857098579,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9968839670286543,1.67844,0.991119744
imdb,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.103531502187252,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9927668021552672,1.52128,0.9932418399999998
imdb,0,convex_comb,greedy_unique_5_post_calib,5,5,0.1016240939497947,1.5481549354435653,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9915700228248736,1.5558,0.9933170432
imdb,0,convex_comb,greedy_50_post_calib,50,19,0.1005441024899482,1.3194502290712204,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9927668021552672,1.638,0.9919423072000001
imdb,0,convex_comb,greedy_50_calib_once,9,8,0.0974609702825546,1.7397251145356103,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9915700228248736,1.509,0.9936548895999999
imdb,0,convex_comb,greedy_50_calib_every_step,10,9,0.097628504037857,1.7255810079133695,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_0_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.992191306592376,1.52756,0.9935627552
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.1149728223681449,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9992145156189742,1.5102,0.9932418336000001
imdb,0,pure_logits,greedy_50_baseline,50,19,0.1030757054686546,,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9971136166070437,1.66992,0.9911197216
imdb,0,pure_logits,greedy_50_temp_baseline,50,19,0.1030492857098579,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9968839670286543,1.67844,0.991119744
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.103531502187252,1.4571428571428573,,,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9927668021552672,1.52128,0.9932418399999998
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.1006988659501075,1.6423157017909205,0.4298209079550187,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9901752286196761,1.52744,0.9934062496
imdb,0,pure_logits,greedy_50_post_calib,50,19,0.0971838608384132,1.53076218242399,0.614743856726364,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9927668021552672,1.59104,0.9931797888
imdb,0,pure_logits,greedy_50_calib_once,10,9,0.0959718152880668,1.602582257392753,2.0991253644314867,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9932998840740801,1.51944,0.9935153823999999
imdb,0,pure_logits,greedy_50_calib_every_step,10,9,0.0959718152880668,1.602582257392753,2.0991253644314867,1.0,llm_experiments_data/arrays/ftc_imdb_0_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9932998840740801,1.51944,0.9935153823999999
imdb,1,convex_comb,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9992724053006923,1.48244,0.9937293744074037
imdb,1,convex_comb,greedy_50_baseline,50,18,0.1034343913197517,,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9977059127281483,1.70164,0.9910968269307643
imdb,1,convex_comb,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9963683992351303,1.65964,0.9910968173306933
imdb,1,convex_comb,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9901752286196761,1.48552,0.9937293712073798
imdb,1,convex_comb,greedy_unique_5_post_calib,5,5,0.0979842022061348,1.615826738858809,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9901752286196761,1.51372,0.9937861172272098
imdb,1,convex_comb,greedy_50_post_calib,50,18,0.0997859388589859,1.352436484798001,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9932998840740801,1.61256,0.9919853999047827
imdb,1,convex_comb,greedy_50_calib_once,11,10,0.097160018980503,1.7255810079133695,0.1379425239483548,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.992191306592376,1.49432,0.9936109895315449
imdb,1,convex_comb,greedy_50_calib_every_step,11,10,0.097160018980503,1.7255810079133695,0.1379425239483548,1.0,llm_experiments_data/arrays/ftc_imdb_1_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.992191306592376,1.49432,0.9936109895315449
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1155015230178833,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9992724053006923,1.48244,0.9937293744074037
imdb,1,pure_logits,greedy_50_baseline,50,18,0.1034343913197517,,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9977059127281483,1.70164,0.9910968269307643
imdb,1,pure_logits,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9963683992351303,1.65964,0.9910968173306933
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9901752286196761,1.48552,0.9937293712073798
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.097522459924221,1.4077634319033736,1.814244064972928,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9915700228248736,1.51708,0.9934506779454958
imdb,1,pure_logits,greedy_50_post_calib,50,18,0.0975896790623664,1.535360266555602,0.6697209496043316,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.992191306592376,1.53128,0.9928824081412085
imdb,1,pure_logits,greedy_50_calib_once,17,11,0.0965547859668731,1.4077634319033736,2.5189504373177845,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9960794578607566,1.57864,0.9931432580710805
imdb,1,pure_logits,greedy_50_calib_every_step,12,10,0.0969902276992797,1.4813827571845066,2.254060807996668,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.995067237475685,1.54588,0.9931750247061027
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9990117162931691,1.4488,0.9936989271673133
imdb,2,convex_comb,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9968839670286543,1.70592,0.9911494599356543
imdb,2,convex_comb,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9954307788259918,1.70616,0.9911494663356584
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9901752286196761,1.4768,0.9936989335673175
imdb,2,convex_comb,greedy_unique_5_post_calib,5,5,0.100108616054058,1.573744273219492,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9885496566989003,1.44516,0.9937613848072864
imdb,2,convex_comb,greedy_50_post_calib,50,15,0.0991813316941261,1.4306538942107456,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9901752286196761,1.63156,0.9924526415696906
imdb,2,convex_comb,greedy_50_calib_once,8,8,0.0972934961318969,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9901752286196761,1.51632,0.9937764440169241
imdb,2,convex_comb,greedy_50_calib_every_step,8,8,0.0972934961318969,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9901752286196761,1.51632,0.9937764440169241
imdb,2,pure_logits,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9990117162931691,1.4488,0.9936989271673133
imdb,2,pure_logits,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9968839670286543,1.70592,0.9911494599356543
imdb,2,pure_logits,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9954307788259918,1.70616,0.9911494663356584
imdb,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9901752286196761,1.4768,0.9936989335673175
imdb,2,pure_logits,greedy_unique_5_post_calib,5,5,0.0998461842536926,1.4511953352769682,1.5993336109954186,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9901752286196761,1.45564,0.9936189175161071
imdb,2,pure_logits,greedy_50_post_calib,50,15,0.0963173434138298,1.6423157017909205,0.5247813411078717,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9901752286196761,1.5262,0.9935981815028361
imdb,2,pure_logits,greedy_50_calib_once,8,8,0.0960176438093185,1.573744273219492,2.180758017492712,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9927668021552672,1.50068,0.9935737718872139
imdb,2,pure_logits,greedy_50_calib_every_step,9,9,0.0955587029457092,1.573744273219492,2.1990837151187006,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9927668021552672,1.50616,0.9935817654923299
imdb,3,convex_comb,greedy_unique_5_baseline,5,5,0.1178968921303749,,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9993260285509822,1.55504,0.9929577290364321
imdb,3,convex_comb,greedy_50_baseline,50,19,0.1088101491332054,,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9994217103165082,1.60484,0.9914354310589413
imdb,3,convex_comb,greedy_50_temp_baseline,50,19,0.1058697625994682,1.126530612244898,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9986576253426299,1.60328,0.9914354694593546
imdb,3,convex_comb,greedy_unique_5_temp_baseline,5,5,0.105005607008934,1.4020408163265308,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9946747716526181,1.57172,0.992957751436673
imdb,3,convex_comb,greedy_unique_5_post_calib,5,5,0.1032422259449958,1.5060724698042485,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9927668021552672,1.53532,0.9930154000568799
imdb,3,convex_comb,greedy_50_post_calib,50,19,0.100595012307167,1.3963182007496877,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.995767527418137,1.57872,0.9920427623928548
imdb,3,convex_comb,greedy_50_calib_once,8,8,0.0984491035342216,1.753869221157851,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9932998840740801,1.5654,0.9934105979085767
imdb,3,convex_comb,greedy_50_calib_every_step,7,7,0.0987762883305549,1.7255810079133695,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9932998840740801,1.53964,0.9933576053384613
imdb,3,pure_logits,greedy_unique_5_baseline,5,5,0.1178968921303749,,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9993260285509822,1.55504,0.9929577290364321
imdb,3,pure_logits,greedy_50_baseline,50,19,0.1088101491332054,,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9994217103165082,1.60484,0.9914354310589413
imdb,3,pure_logits,greedy_50_temp_baseline,50,19,0.1058697625994682,1.126530612244898,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9986576253426299,1.60328,0.9914354694593546
imdb,3,pure_logits,greedy_unique_5_temp_baseline,5,5,0.105005607008934,1.4020408163265308,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9946747716526181,1.57172,0.992957751436673
imdb,3,pure_logits,greedy_unique_5_post_calib,5,5,0.1030147820711135,1.6290712203248647,0.326530612244898,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9915700228248736,1.54108,0.9930797879495905
imdb,3,pure_logits,greedy_50_post_calib,50,19,0.0991458222270011,1.53076218242399,0.6397334443981675,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9946747716526181,1.58488,0.9926662123001784
imdb,3,pure_logits,greedy_50_calib_once,8,8,0.0977658480405807,1.3963182007496877,2.577259475218659,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9963683992351303,1.56164,0.9930085967836877
imdb,3,pure_logits,greedy_50_calib_every_step,10,10,0.0972237512469291,1.3498375676801333,2.752186588921283,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9966360458204521,1.57244,0.9930200273066618
imdb,4,convex_comb,greedy_unique_5_baseline,5,5,0.122335098683834,,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9994217103165082,1.4724,0.9935110521355315
imdb,4,convex_comb,greedy_50_baseline,50,14,0.1074721291661262,,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9981766675820978,1.63836,0.9906149942389754
imdb,4,convex_comb,greedy_50_temp_baseline,50,14,0.1072030439972877,1.0163265306122449,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9980315976229037,1.6442,0.9906150070389766
imdb,4,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1014102846384048,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9927668021552672,1.46788,0.9935110905355358
imdb,4,convex_comb,greedy_unique_5_post_calib,5,5,0.1014940738677978,1.5481549354435653,0.2538942107455226,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9927668021552672,1.4786,0.9935475961392738
imdb,4,convex_comb,greedy_50_post_calib,50,14,0.1034569516777992,1.265472719700125,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9946747716526181,1.6076,0.9913681943161031
imdb,4,convex_comb,greedy_50_calib_once,8,8,0.1005255877971649,1.5865389421074554,0.3098708871303623,1.0,llm_experiments_data/arrays/ftc_imdb_4_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9932998840740801,1.49192,0.9936019353448382
