dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc
imdb,0,convex_comb,greedy_unique_5_baseline,5,5,0.1272464990615844,,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9876386320173118,1.76956,0.9878506976
imdb,0,convex_comb,greedy_50_baseline,50,21,0.1241413652896881,,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9937936782064581,1.68592,0.9885623743999999
imdb,0,convex_comb,greedy_50_temp_baseline,50,21,0.1240801736712455,1.0163265306122449,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9932998840740801,1.6892,0.9885623616
imdb,0,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1268142312765121,0.9612244897959183,,,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9893935394612752,1.75364,0.9878506976
imdb,0,convex_comb,greedy_unique_5_post_calib,5,5,0.1267390698194503,0.8950270720533111,0.0,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_unique_5_post_calib_2025-04-20.npz,0.9908993078017677,1.76236,0.9877239552000001
imdb,0,convex_comb,greedy_50_post_calib,50,21,0.1242452710866928,0.9651478550603916,0.0489795918367346,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_post_calib_2025-04-20.npz,0.9946747716526181,1.72728,0.9884925280000001
imdb,0,convex_comb,greedy_50_calib_once,22,18,0.1237528547644615,1.6980924614743858,0.1039566847147022,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_calib_once_2025-04-20.npz,0.9908993078017677,1.69736,0.9895286047999999
imdb,0,convex_comb,greedy_50_calib_every_step,13,13,0.1255404353141784,1.9057059558517289,0.1179508538109121,1.0,llm_experiments_data/arrays/imdb_0_convex_comb_greedy_50_calib_every_step_2025-04-20.npz,0.9893935394612752,1.7896,0.9903008544
imdb,0,pure_logits,greedy_unique_5_baseline,5,5,0.1272464990615844,,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_unique_5_baseline_2025-04-20.npz,0.9876386320173118,1.76956,0.9878506976
imdb,0,pure_logits,greedy_50_baseline,50,21,0.1241413652896881,,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_baseline_2025-04-20.npz,0.9937936782064581,1.68592,0.9885623743999999
imdb,0,pure_logits,greedy_50_temp_baseline,50,21,0.1240801736712455,1.0163265306122449,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_temp_baseline_2025-04-20.npz,0.9932998840740801,1.6892,0.9885623616
imdb,0,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1268142312765121,0.9612244897959183,,,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9893935394612752,1.75364,0.9878506976
imdb,0,pure_logits,greedy_unique_5_post_calib,5,5,0.1263979226350784,1.0701541024573094,0.9062890462307372,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9885496566989003,1.6818,0.988357104
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.1241735741496086,0.9886880466472304,0.9995835068721366,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.9942510800363944,1.71396,0.988554496
imdb,0,pure_logits,greedy_50_calib_once,14,13,0.1230600401759147,1.330445647646814,2.8454810495626823,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.9932998840740801,1.75984,0.9894475392000001
imdb,0,pure_logits,greedy_50_calib_every_step,20,17,0.1225338503718376,1.1127363598500624,3.0737192836318203,1.0,llm_experiments_data/arrays/imdb_0_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.995067237475685,1.75776,0.9893668544
imdb,1,convex_comb,greedy_unique_5_baseline,5,5,0.1270262897014618,,,,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9866551233980249,1.71284,0.9879076705361097
imdb,1,convex_comb,greedy_50_baseline,50,22,0.1241896897554397,,,,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9937936782064581,1.70536,0.9887257949889215
imdb,1,convex_comb,greedy_50_temp_baseline,50,22,0.1241727024316787,1.0163265306122449,,,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9932998840740801,1.70792,0.988725791788898
imdb,1,convex_comb,greedy_unique_5_temp_baseline,5,5,0.126593217253685,0.9612244897959183,,,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9885496566989003,1.6974,0.9879076577360151
imdb,1,convex_comb,greedy_unique_5_post_calib,5,5,0.1265934556722641,0.9246147438567264,0.0,1.0,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_unique_5_post_calib_2025-04-20.npz,0.9893935394612752,1.7234,0.9877977721230373
imdb,1,convex_comb,greedy_50_post_calib,50,22,0.1241850852966308,1.0038817159516868,0.0,1.0,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_50_post_calib_2025-04-20.npz,0.9932998840740801,1.666,0.9887287422107264
imdb,1,convex_comb,greedy_50_calib_once,27,18,0.1257619559764862,1.8747188671386923,0.197917534360683,1.0,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_50_calib_once_2025-04-20.npz,0.9901752286196761,1.71472,0.9895929118041987
imdb,1,convex_comb,greedy_50_calib_every_step,27,19,0.1245298832654953,1.6707038733860893,0.1544356518117451,1.0,llm_experiments_data/arrays/imdb_1_convex_comb_greedy_50_calib_every_step_2025-04-20.npz,0.9915700228248736,1.73592,0.9893599276804889
imdb,1,pure_logits,greedy_unique_5_baseline,5,5,0.1270262897014618,,,,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_unique_5_baseline_2025-04-20.npz,0.9866551233980249,1.71284,0.9879076705361097
imdb,1,pure_logits,greedy_50_baseline,50,22,0.1241896897554397,,,,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_baseline_2025-04-20.npz,0.9937936782064581,1.70536,0.9887257949889215
imdb,1,pure_logits,greedy_50_temp_baseline,50,22,0.1241727024316787,1.0163265306122449,,,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_temp_baseline_2025-04-20.npz,0.9932998840740801,1.70792,0.988725791788898
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.126593217253685,0.9612244897959183,,,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9885496566989003,1.6974,0.9879076577360151
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.1262862235307693,1.3124531445231151,0.7730112453144523,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9866551233980249,1.71096,0.9894514195573825
imdb,1,pure_logits,greedy_50_post_calib,50,22,0.1241556704044342,0.9651478550603916,1.0162432319866723,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.9937936782064581,1.70412,0.9886949979610727
imdb,1,pure_logits,greedy_50_calib_once,26,18,0.1226887330412864,1.4077634319033736,2.868804664723032,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.9932998840740801,1.77492,0.9892915623746952
imdb,1,pure_logits,greedy_50_calib_every_step,34,21,0.1232841685414314,1.4393002915451896,2.2357351103706797,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.9942510800363944,1.84864,0.9893914735138777
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1384223103523254,,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9844471273184587,1.72236,0.9866834186773878
imdb,2,convex_comb,greedy_50_baseline,50,21,0.1249853745102882,,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_baseline_2025-04-20.npz,0.992191306592376,1.71244,0.9887088663736744
imdb,2,convex_comb,greedy_50_temp_baseline,50,21,0.1251706480979919,1.0163265306122449,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9915700228248736,1.71272,0.9887088695736764
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1362000554800033,0.9061224489795918,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9901752286196761,1.74656,0.986683418677388
