dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,1,pure_logits,greedy_50_temp_baseline,50,18,0.1030050814151763,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9837534906872707,0.016246509312729307
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.0983807742595672,1.5673469387755103,,,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9861278677191443,0.013872132280855709
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.097522459924221,1.4077634319033736,1.814244064972928,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9858452042860267,0.014154795713973267
imdb,1,pure_logits,greedy_50_post_calib,50,18,0.0975896790623664,1.535360266555602,0.6697209496043316,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9854834586969089,0.014516541303091102
imdb,1,pure_logits,greedy_50_calib_once,17,11,0.0965547859668731,1.4077634319033736,2.5189504373177845,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9857502737735173,0.014249726226482684
imdb,1,pure_logits,greedy_50_calib_every_step,12,10,0.0969902276992797,1.4813827571845066,2.254060807996668,1.0,llm_experiments_data/arrays/ftc_imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9857629632589736,0.014237036741026388
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9861212479091997,0.01387875209080025
imdb,2,convex_comb,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9837227341303949,0.016277265869605095
imdb,2,convex_comb,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9837227341303949,0.016277265869605095
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9861212479091997,0.01387875209080025
imdb,2,convex_comb,greedy_unique_5_post_calib,5,5,0.100108616054058,1.573744273219492,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9861527436355318,0.013847256364468152
imdb,2,convex_comb,greedy_50_post_calib,50,15,0.0991813316941261,1.4306538942107456,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9849711406198226,0.015028859380177395
imdb,2,convex_comb,greedy_50_calib_once,8,8,0.0972934961318969,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9861603630770324,0.013839636922967635
imdb,2,convex_comb,greedy_50_calib_every_step,8,8,0.0972934961318969,1.7804581424406498,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_2_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9861603630770324,0.013839636922967635
imdb,2,pure_logits,greedy_unique_5_baseline,5,5,0.1148613765835762,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9861212479091997,0.01387875209080025
imdb,2,pure_logits,greedy_50_baseline,50,15,0.1020261943340301,,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9837227341303949,0.016277265869605095
imdb,2,pure_logits,greedy_50_temp_baseline,50,15,0.102026529610157,1.0714285714285714,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9837227341303949,0.016277265869605095
imdb,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1007403060793876,1.5122448979591838,,,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9861212479091997,0.01387875209080025
imdb,2,pure_logits,greedy_unique_5_post_calib,5,5,0.0998461842536926,1.4511953352769682,1.5993336109954186,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9860491217406989,0.01395087825930108
imdb,2,pure_logits,greedy_50_post_calib,50,15,0.0963173434138298,1.6423157017909205,0.5247813411078717,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9859666523114848,0.014033347688515163
imdb,2,pure_logits,greedy_50_calib_once,8,8,0.0960176438093185,1.573744273219492,2.180758017492712,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.986045571817058,0.013954428182942014
imdb,2,pure_logits,greedy_50_calib_every_step,9,9,0.0955587029457092,1.573744273219492,2.1990837151187006,1.0,llm_experiments_data/arrays/ftc_imdb_2_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.986044673189759,0.013955326810241031
imdb,3,convex_comb,greedy_unique_5_baseline,5,5,0.1178968921303749,,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9855251371200042,0.014474862879995776
imdb,3,convex_comb,greedy_50_baseline,50,19,0.1088101491332054,,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9843793611991313,0.015620638800868725
imdb,3,convex_comb,greedy_50_temp_baseline,50,19,0.1058697625994682,1.126530612244898,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9843774795630039,0.015622520436996079
imdb,3,convex_comb,greedy_unique_5_temp_baseline,5,5,0.105005607008934,1.4020408163265308,,,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9855251371200042,0.014474862879995776
imdb,3,convex_comb,greedy_unique_5_post_calib,5,5,0.1032422259449958,1.5060724698042485,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9855885981660075,0.014411401833992477
imdb,3,convex_comb,greedy_50_post_calib,50,19,0.100595012307167,1.3963182007496877,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.984819898193657,0.015180101806342994
imdb,3,convex_comb,greedy_50_calib_once,8,8,0.0984491035342216,1.753869221157851,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9858702468513071,0.014129753148692914
imdb,3,convex_comb,greedy_50_calib_every_step,7,7,0.0987762883305549,1.7255810079133695,0.0,1.0,llm_experiments_data/arrays/ftc_imdb_3_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9858420117684683,0.014157988231531693
imdb,3,pure_logits,greedy_unique_5_baseline,5,5,0.1178968921303749,,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9855251371200042,0.014474862879995776
imdb,3,pure_logits,greedy_50_baseline,50,19,0.1088101491332054,,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9843793611991313,0.015620638800868725
imdb,3,pure_logits,greedy_50_temp_baseline,50,19,0.1058697625994682,1.126530612244898,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9843774795630039,0.015622520436996079
imdb,3,pure_logits,greedy_unique_5_temp_baseline,5,5,0.105005607008934,1.4020408163265308,,,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9855251371200042,0.014474862879995776
imdb,3,pure_logits,greedy_unique_5_post_calib,5,5,0.1030147820711135,1.6290712203248647,0.326530612244898,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9856557698467598,0.014344230153240156
imdb,3,pure_logits,greedy_50_post_calib,50,19,0.0991458222270011,1.53076218242399,0.6397334443981675,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9852994148103915,0.014700585189608484
imdb,3,pure_logits,greedy_50_calib_once,8,8,0.0977658480405807,1.3963182007496877,2.577259475218659,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9855635668490174,0.014436433150982642
imdb,3,pure_logits,greedy_50_calib_every_step,10,10,0.0972237512469291,1.3498375676801333,2.752186588921283,1.0,llm_experiments_data/arrays/ftc_imdb_3_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9855559123815956,0.014444087618404433
