dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac
imdb,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.1007403060793876,1.5122448979591838,,,0.0979328155517578,0.0074999332427978,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz,0.9901752286196761,1.4768,0.9936989335673175,0.9861212479091997,0.01387875209080025
imdb,2,pure_logits,greedy_50_temp_calibrate_then_pool,50,15,0.1096207126975059,2.120571428571429,,,0.0979328155517578,0.3555381298065185,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz,0.9690227498992263,1.57644,0.993466507818565,0.9858600834616426,0.014139916538357444
imdb,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1039995327591896,1.9089795918367352,,,0.0979328155517578,0.0367777347564697,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-21.npz,0.9771939142407526,1.45652,0.9937804920195148,0.9861492373383538,0.013850762661646199
imdb,2,pure_logits,greedy_5_post_calib,5,5,0.0998461842536926,1.4511953352769682,1.5993336109954186,1.0,0.0979328155517578,2.5087740421295166,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_5_post_calib_2025-09-21.npz,0.9901752286196761,1.45564,0.9936189175161071,0.9860491217406989,0.01395087825930108
imdb,2,pure_logits,greedy_50_post_calib,50,15,0.0963173434138298,1.6423157017909205,0.5247813411078717,1.0,0.0979328155517578,12.04988980293274,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_50_post_calib_2025-09-21.npz,0.9901752286196761,1.5262,0.9935981815028361,0.9859666523114848,0.014033347688515163
imdb,3,pure_logits,greedy_5_baseline,5,5,0.1178968921303749,,,,0.094620943069458,0.0,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_5_baseline_2025-09-21.npz,0.9993260285509822,1.55504,0.9929577290364321,0.9855251371200042,0.014474862879995776
imdb,3,pure_logits,greedy_50_baseline,50,19,0.1088101491332054,,,,0.094620943069458,0.0,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_baseline_2025-09-21.npz,0.9994217103165082,1.60484,0.9914354310589413,0.9843793611991313,0.015620638800868725
imdb,3,pure_logits,greedy_50_temp_pool_then_calibrate,50,19,0.1058697625994682,1.126530612244898,,,0.094620943069458,0.0096125602722167,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-21.npz,0.9986576253426299,1.60328,0.9914354694593546,0.9843774795630039,0.015622520436996079
imdb,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.105005607008934,1.4020408163265308,,,0.094620943069458,0.0072293281555175,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-21.npz,0.9946747716526181,1.57172,0.992957751436673,0.9855251371200042,0.014474862879995776
imdb,3,pure_logits,greedy_50_temp_calibrate_then_pool,50,19,0.1065542697906494,2.091918367346939,,,0.094620943069458,0.3693470954895019,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-21.npz,0.9771939142407526,1.59768,0.9928541375219531,0.9853933326938705,0.014606667306129473
