dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,aurac,aorac
imdb,1,pure_logits,greedy_unique_5_temp_baseline,5,5,0.126593217253685,0.9612244897959183,,,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9815535387214858,0.018446461278514237
imdb,1,pure_logits,greedy_unique_5_post_calib,5,5,0.1262862235307693,1.3124531445231151,0.7730112453144523,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9828192986868756,0.017180701313124436
imdb,1,pure_logits,greedy_50_post_calib,50,22,0.1241556704044342,0.9651478550603916,1.0162432319866723,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.9823691538631053,0.017630846136894696
imdb,1,pure_logits,greedy_50_calib_once,26,18,0.1226887330412864,1.4077634319033736,2.868804664723032,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.9817270259786909,0.01827297402130912
imdb,1,pure_logits,greedy_50_calib_every_step,34,21,0.1232841685414314,1.4393002915451896,2.2357351103706797,1.0,llm_experiments_data/arrays/imdb_1_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.9807781112406171,0.01922188875938291
imdb,2,convex_comb,greedy_unique_5_baseline,5,5,0.1384223103523254,,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.980759106481637,0.019240893518363
imdb,2,convex_comb,greedy_50_baseline,50,21,0.1249853745102882,,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9823803530352296,0.017619646964770364
imdb,2,convex_comb,greedy_50_temp_baseline,50,21,0.1251706480979919,1.0163265306122449,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9823803530352296,0.017619646964770364
imdb,2,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1362000554800033,0.9061224489795918,,,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.980759106481637,0.019240893518363
imdb,2,convex_comb,greedy_unique_5_post_calib,5,5,0.1368316859006881,0.8683881715951687,0.0,1.0,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_unique_5_post_calib_2025-04-20.npz,0.9806488661769477,0.019351133823052313
imdb,2,convex_comb,greedy_50_post_calib,50,21,0.1250255107879638,1.0121782590587256,0.0,1.0,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_post_calib_2025-04-20.npz,0.9823920017080381,0.017607998291961913
imdb,2,convex_comb,greedy_50_calib_once,19,15,0.1252444088459015,1.809645980841316,0.051478550603915,1.0,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_calib_once_2025-04-20.npz,0.982778223239307,0.01722177676069303
imdb,2,convex_comb,greedy_50_calib_every_step,12,12,0.1270406395196914,2.032753019575177,0.0539775093710953,1.0,llm_experiments_data/arrays/imdb_2_convex_comb_greedy_50_calib_every_step_2025-04-20.npz,0.9821067144702633,0.01789328552973668
imdb,2,pure_logits,greedy_unique_5_baseline,5,5,0.1384223103523254,,,,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_unique_5_baseline_2025-04-20.npz,0.980759106481637,0.019240893518363
imdb,2,pure_logits,greedy_50_baseline,50,21,0.1249853745102882,,,,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_50_baseline_2025-04-20.npz,0.9823803530352296,0.017619646964770364
imdb,2,pure_logits,greedy_50_temp_baseline,50,21,0.1251706480979919,1.0163265306122449,,,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_50_temp_baseline_2025-04-20.npz,0.9823803530352296,0.017619646964770364
imdb,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1362000554800033,0.9061224489795918,,,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-20.npz,0.980759106481637,0.019240893518363
imdb,2,pure_logits,greedy_unique_5_post_calib,5,5,0.1345534473657608,1.265472719700125,0.6547271970012495,1.0,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_unique_5_post_calib_2025-04-20.npz,0.9816449966676055,0.01835500333239448
imdb,2,pure_logits,greedy_50_post_calib,50,21,0.1247840598225593,1.1875052061640985,0.9129529362765514,1.0,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_50_post_calib_2025-04-20.npz,0.9826374626356885,0.01736253736431148
imdb,2,pure_logits,greedy_50_calib_once,31,17,0.1248313933610916,1.1311286963765097,3.4835485214493964,1.0,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_50_calib_once_2025-04-20.npz,0.9824228270005261,0.017577172999473922
imdb,2,pure_logits,greedy_50_calib_every_step,22,15,0.1243100762367248,1.075801749271137,3.65847563515202,1.0,llm_experiments_data/arrays/imdb_2_pure_logits_greedy_50_calib_every_step_2025-04-20.npz,0.9823997979049583,0.01760020209504165
imdb,3,convex_comb,greedy_unique_5_baseline,5,5,0.1308992207050323,,,,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_unique_5_baseline_2025-04-20.npz,0.9811119392703952,0.018888060729604805
imdb,3,convex_comb,greedy_50_baseline,50,20,0.1263695061206817,,,,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_50_baseline_2025-04-20.npz,0.9822058554637462,0.01779414453625383
imdb,3,convex_comb,greedy_50_temp_baseline,50,20,0.1261262595653534,1.0163265306122449,,,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_50_temp_baseline_2025-04-20.npz,0.9822058554637462,0.01779414453625383
imdb,3,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1308252960443496,0.9061224489795918,,,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_unique_5_temp_baseline_2025-04-20.npz,0.9811119392703952,0.018888060729604805
imdb,3,convex_comb,greedy_unique_5_post_calib,5,5,0.1306636780500412,0.8186588921282799,0.0489795918367346,1.0,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_unique_5_post_calib_2025-04-20.npz,0.9809653846635176,0.01903461533648243
imdb,3,convex_comb,greedy_50_post_calib,50,20,0.126663938164711,0.949454394002499,0.073469387755102,1.0,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_50_post_calib_2025-04-20.npz,0.9820884370053923,0.01791156299460772
imdb,3,convex_comb,greedy_50_calib_once,20,17,0.128183513879776,1.809645980841316,0.146938775510204,1.0,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_50_calib_once_2025-04-20.npz,0.9824008214401976,0.01759917855980242
imdb,3,convex_comb,greedy_50_calib_every_step,20,16,0.128837764263153,1.7658642232403166,0.1664306538942107,1.0,llm_experiments_data/arrays/imdb_3_convex_comb_greedy_50_calib_every_step_2025-04-20.npz,0.9819615849048655,0.018038415095134486
