dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,threshold,set_size,auc,aurac,aorac
ag_news,2,pure_logits,greedy_50_temp_baseline,50,20,0.1488304287195205,1.1816326530612244,,,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9981766675820978,2.5239473684210525,0.993235022019244,0.9810271499520543,0.01897285004794569
ag_news,2,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1630717068910598,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9987565574710574,2.4871052631578947,0.9925444702574343,0.9801857395735019,0.019814260426498143
ag_news,2,pure_logits,greedy_unique_5_post_calib,5,5,0.146973505616188,1.4937276134943775,0.193252811328613,1.0,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_unique_5_post_calib_2025-04-25.npz,0.9946747716526181,2.3167105263157897,0.9941918072051787,0.9824785925991811,0.017521407400818867
ag_news,2,pure_logits,greedy_50_post_calib,50,20,0.1406689137220382,1.53076218242399,0.5597667638483965,1.0,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_50_post_calib_2025-04-25.npz,0.9942510800363944,2.181578947368421,0.9948381073009226,0.9832562483404189,0.016743751659581085
ag_news,2,pure_logits,greedy_50_calib_once,8,8,0.1414904743432998,1.4937276134943775,2.0324864639733446,1.0,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_50_calib_once_2025-04-25.npz,0.9946747716526181,2.021578947368421,0.9947812699746317,0.9835229556110635,0.01647704438893649
ag_news,2,pure_logits,greedy_50_calib_every_step,10,10,0.1416934579610824,1.4630903790087464,1.9991670137442727,1.0,llm_experiments_data/arrays/ftc_ag_news_2_pure_logits_greedy_50_calib_every_step_2025-04-25.npz,0.9960794578607566,2.2842105263157895,0.9947566166566211,0.9835464069972455,0.016453593002754507
ag_news,3,convex_comb,greedy_unique_5_baseline,5,5,0.1616485267877578,,,,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_unique_5_baseline_2025-04-25.npz,0.9992145156189742,2.2957894736842106,0.9932011861783083,0.9817143896960207,0.01828561030397935
ag_news,3,convex_comb,greedy_50_baseline,50,20,0.14743173122406,,,,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_50_baseline_2025-04-25.npz,0.9989330853887797,2.300263157894737,0.9939809275610455,0.9825424083689139,0.017457591631086067
ag_news,3,convex_comb,greedy_50_temp_baseline,50,20,0.1449004858732223,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_50_temp_baseline_2025-04-25.npz,0.9977059127281483,2.318026315789474,0.9939759028032253,0.9825136580220858,0.01748634197791421
ag_news,3,convex_comb,greedy_unique_5_temp_baseline,5,5,0.1590738743543625,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9983110459808135,2.3344736842105265,0.9932024646567453,0.9817127820588301,0.018287217941169942
ag_news,3,convex_comb,greedy_unique_5_post_calib,5,5,0.1535630673170089,1.330445647646814,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_unique_5_post_calib_2025-04-25.npz,0.9954307788259918,2.272894736842105,0.9936117101061226,0.9822107703835866,0.017789229616413382
ag_news,3,convex_comb,greedy_50_post_calib,50,20,0.1405008435249328,1.3963182007496877,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_50_post_calib_2025-04-25.npz,0.9927668021552672,2.0719736842105263,0.9948492046879277,0.9837848144152174,0.016215185584782632
ag_news,3,convex_comb,greedy_50_calib_once,10,10,0.1402200907468795,1.6843981674302375,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_50_calib_once_2025-04-25.npz,0.9927668021552672,1.9,0.9953159240941535,0.9844185312229252,0.01558146877707478
ag_news,3,convex_comb,greedy_50_calib_every_step,10,10,0.1402200907468795,1.6843981674302375,0.0,1.0,llm_experiments_data/arrays/ftc_ag_news_3_convex_comb_greedy_50_calib_every_step_2025-04-25.npz,0.9927668021552672,1.9,0.9953159240941535,0.9844185312229252,0.01558146877707478
ag_news,3,pure_logits,greedy_unique_5_baseline,5,5,0.1616485267877578,,,,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_unique_5_baseline_2025-04-25.npz,0.9992145156189742,2.2957894736842106,0.9932011861783083,0.9817143896960207,0.01828561030397935
ag_news,3,pure_logits,greedy_50_baseline,50,20,0.14743173122406,,,,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_50_baseline_2025-04-25.npz,0.9989330853887797,2.300263157894737,0.9939809275610455,0.9825424083689139,0.017457591631086067
ag_news,3,pure_logits,greedy_50_temp_baseline,50,20,0.1449004858732223,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_50_temp_baseline_2025-04-25.npz,0.9977059127281483,2.318026315789474,0.9939759028032253,0.9825136580220858,0.01748634197791421
ag_news,3,pure_logits,greedy_unique_5_temp_baseline,5,5,0.1590738743543625,1.126530612244898,,,llm_experiments_data/arrays/ftc_ag_news_3_pure_logits_greedy_unique_5_temp_baseline_2025-04-25.npz,0.9983110459808135,2.3344736842105265,0.9932024646567453,0.9817127820588301,0.018287217941169942
