dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac
imdb,0,pure_logits,greedy_5_baseline,5,5,0.1272464990615844,,,,0.1382563114166259,0.0,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_baseline_2025-09-23.npz,0.9610249264065008,1.23224,0.9878506976,0.9813554282539876,0.018644571746012417
imdb,0,pure_logits,greedy_50_baseline,50,21,0.1241413652896881,,,,0.1382563114166259,0.0,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_baseline_2025-09-23.npz,0.9610249264065008,1.18272,0.9885623743999999,0.9822878516353568,0.017712148364643188
imdb,0,pure_logits,greedy_50_temp_pool_then_calibrate,50,21,0.1240801736712455,1.0163265306122449,,,0.1382563114166259,0.009545087814331,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz,0.9579239491627013,1.17896,0.9885623616,0.9822878516353568,0.017712148364643188
imdb,0,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.1268142312765121,0.9612244897959183,,,0.1382563114166259,0.0070774555206298,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz,0.9638973636691187,1.2228,0.9878506976,0.9813554282539876,0.018644571746012417
imdb,0,pure_logits,greedy_50_temp_calibrate_then_pool,50,21,0.129887044429779,2.016359850062474,0.0,1.0,0.1382563114166259,5.471109390258789,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz,0.9690227498992263,1.1608,0.9902731008,0.9827240694196281,0.017275930580371912
imdb,0,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1311161071062088,1.8353352769679303,0.0,1.0,0.1382563114166259,2.994954824447632,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz,0.9690227498992263,1.17384,0.9897480064,0.9829423566193892,0.017057643380610776
imdb,0,pure_logits,greedy_5_post_calib,5,5,0.1263979226350784,1.0701541024573094,0.9062890462307372,1.0,0.1382563114166259,2.3423242568969727,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_5_post_calib_2025-09-23.npz,0.9690227498992263,1.22192,0.988357104,0.9818147888058253,0.01818521119417471
imdb,0,pure_logits,greedy_50_post_calib,50,21,0.1241735741496086,0.9886880466472304,0.9995835068721366,1.0,0.1382563114166259,11.473557233810425,llm_experiments_data/arrays/mini_imdb_0_pure_logits_greedy_50_post_calib_2025-09-23.npz,0.9610249264065008,1.18204,0.988554496,0.9822789593689951,0.01772104063100488
imdb,1,pure_logits,greedy_5_baseline,5,5,0.1270262897014618,,,,6.561986207962036,0.0,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_baseline_2025-09-23.npz,0.9610249264065008,1.2306,0.9879076705361097,0.9815535387214858,0.018446461278514237
imdb,1,pure_logits,greedy_50_baseline,50,22,0.1241896897554397,,,,6.561986207962036,0.0,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_baseline_2025-09-23.npz,0.9579239491627013,1.18448,0.9887257949889215,0.9824100271487011,0.01758997285129893
imdb,1,pure_logits,greedy_50_temp_pool_then_calibrate,50,22,0.1241727024316787,1.0163265306122449,,,6.561986207962036,0.0086758136749267,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz,0.9579239491627013,1.19088,0.988725791788898,0.9824100271487011,0.01758997285129893
imdb,1,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.126593217253685,0.9612244897959183,,,6.561986207962036,0.0072886943817138,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz,0.9638973636691187,1.22088,0.9879076577360151,0.9815535387214858,0.018446461278514237
imdb,1,pure_logits,greedy_50_temp_calibrate_then_pool,50,22,0.1301302760839462,2.0716867971678465,0.0,1.0,6.561986207962036,8.602362155914307,llm_experiments_data/arrays/mini_imdb_1_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz,0.9665581041966967,1.15348,0.990111597241641,0.9834831223084918,0.016516877691508225
