dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,ensemble_time,calibration_time,path,threshold,set_size,auc,aurac,aorac
imdb,2,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.1007403060793876,1.5122448979591838,,,0.1038947105407714,0.0095963478088378,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz,0.9509621946209896,1.09684,0.9936989335673175,0.9861212479091997,0.01387875209080025
imdb,2,pure_logits,greedy_50_temp_calibrate_then_pool,50,15,0.0970130041241645,1.7804581424406498,0.0,1.0,0.1038947105407714,5.790647745132446,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz,0.947060595353925,1.0898,0.9939504473282863,0.9862231415588483,0.01377685844115173
imdb,2,pure_logits,greedy_5_temp_calibrate_then_pool,5,5,0.1005926430225372,1.7114369012911288,0.0,1.0,0.1038947105407714,1.2738680839538574,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_5_temp_calibrate_then_pool_2025-09-23.npz,0.954576248590888,1.09752,0.9938787352823906,0.986188005281993,0.013811994718006981
imdb,2,pure_logits,greedy_5_post_calib,5,5,0.0998461842536926,1.4511953352769682,1.5993336109954186,1.0,0.1038947105407714,2.5493252277374268,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_5_post_calib_2025-09-23.npz,0.9428485727976632,1.09696,0.9936189175161071,0.9860491217406989,0.01395087825930108
imdb,2,pure_logits,greedy_50_post_calib,50,15,0.0963173434138298,1.6423157017909205,0.5247813411078717,1.0,0.1038947105407714,16.064687967300415,llm_experiments_data/arrays/extended_imdb_2_pure_logits_greedy_50_post_calib_2025-09-23.npz,0.9383014287164605,1.09296,0.9935981815028361,0.9859666523114848,0.014033347688515163
imdb,3,pure_logits,greedy_5_baseline,5,5,0.1178968921303749,,,,0.0989115238189697,0.0,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_5_baseline_2025-09-23.npz,0.9885496566989003,1.1086,0.9929577290364321,0.9855251371200042,0.014474862879995776
imdb,3,pure_logits,greedy_50_baseline,50,19,0.1088101491332054,,,,0.0989115238189697,0.0,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_baseline_2025-09-23.npz,0.9579239491627013,1.12536,0.9914354310589413,0.9843763147406392,0.015623685259360753
imdb,3,pure_logits,greedy_50_temp_pool_then_calibrate,50,19,0.1058697625994682,1.126530612244898,,,0.0989115238189697,0.0101017951965332,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_temp_pool_then_calibrate_2025-09-23.npz,0.9428485727976632,1.13264,0.9914354694593546,0.9843774795630039,0.015622520436996079
imdb,3,pure_logits,greedy_5_temp_pool_then_calibrate,5,5,0.105005607008934,1.4020408163265308,,,0.0989115238189697,0.0095829963684082,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_5_temp_pool_then_calibrate_2025-09-23.npz,0.9610249264065008,1.10952,0.992957751436673,0.9855251371200042,0.014474862879995776
imdb,3,pure_logits,greedy_50_temp_calibrate_then_pool,50,19,0.0995146557688713,1.7397251145356103,0.0,1.0,0.0989115238189697,12.696752786636353,llm_experiments_data/arrays/extended_imdb_3_pure_logits_greedy_50_temp_calibrate_then_pool_2025-09-23.npz,0.9579239491627013,1.093,0.9935414217160314,0.9859399361122589,0.014060063887741059
